Generation 0 | Revalues: 100 | GridSize: 4
Generation 1 | Revalues: 318 | GridSize: 6
Generation 2 | Revalues: 550 | GridSize: 6
Generation 3 | Revalues: 780 | GridSize: 11
Generation 4 | Revalues: 1000 | GridSize: 13
Generation 5 | Revalues: 1214 | GridSize: 9
Generation 6 | Revalues: 1422 | GridSize: 13
Generation 7 | Revalues: 1642 | GridSize: 13
Generation 8 | Revalues: 1882 | GridSize: 14
Generation 9 | Revalues: 2074 | GridSize: 16
Generation 10 | Revalues: 2302 | GridSize: 14
Generation 11 | Revalues: 2534 | GridSize: 18
Generation 12 | Revalues: 2780 | GridSize: 16
Generation 13 | Revalues: 2996 | GridSize: 22
Generation 14 | Revalues: 3214 | GridSize: 17
Generation 15 | Revalues: 3448 | GridSize: 26
Generation 16 | Revalues: 3652 | GridSize: 23
Generation 17 | Revalues: 3880 | GridSize: 25
Generation 18 | Revalues: 4092 | GridSize: 26
Generation 19 | Revalues: 4286 | GridSize: 22
Generation 20 | Revalues: 4496 | GridSize: 29
Generation 21 | Revalues: 4694 | GridSize: 27
Generation 22 | Revalues: 4932 | GridSize: 21
Generation 23 | Revalues: 5154 | GridSize: 24
Generation 24 | Revalues: 5342 | GridSize: 22
Generation 25 | Revalues: 5562 | GridSize: 24
Generation 26 | Revalues: 5812 | GridSize: 19
Generation 27 | Revalues: 6040 | GridSize: 22
Generation 28 | Revalues: 6234 | GridSize: 26
Generation 29 | Revalues: 6468 | GridSize: 23
Generation 30 | Revalues: 6690 | GridSize: 26
Generation 31 | Revalues: 6906 | GridSize: 25
Generation 32 | Revalues: 7138 | GridSize: 21
Generation 33 | Revalues: 7348 | GridSize: 24
Generation 34 | Revalues: 7584 | GridSize: 32
Generation 35 | Revalues: 7808 | GridSize: 29
Generation 36 | Revalues: 8006 | GridSize: 28
Generation 37 | Revalues: 8214 | GridSize: 26
Generation 38 | Revalues: 8436 | GridSize: 28
Generation 39 | Revalues: 8636 | GridSize: 25
Generation 40 | Revalues: 8856 | GridSize: 28
Generation 41 | Revalues: 9088 | GridSize: 25
Generation 42 | Revalues: 9304 | GridSize: 31
Generation 43 | Revalues: 9530 | GridSize: 30
Generation 44 | Revalues: 9752 | GridSize: 33
Generation 45 | Revalues: 9976 | GridSize: 32
Generation 46 | Revalues: 10208 | GridSize: 33
Generation 47 | Revalues: 10416 | GridSize: 17
Generation 48 | Revalues: 10634 | GridSize: 16
Generation 49 | Revalues: 10836 | GridSize: 17
Generation 50 | Revalues: 11064 | GridSize: 24
Generation 51 | Revalues: 11264 | GridSize: 31
Generation 52 | Revalues: 11524 | GridSize: 29
Generation 53 | Revalues: 11752 | GridSize: 30
Generation 54 | Revalues: 11972 | GridSize: 35
Generation 55 | Revalues: 12162 | GridSize: 36
Generation 56 | Revalues: 12390 | GridSize: 36
Generation 57 | Revalues: 12594 | GridSize: 33
Generation 58 | Revalues: 12822 | GridSize: 36
Generation 59 | Revalues: 13046 | GridSize: 38
Generation 60 | Revalues: 13250 | GridSize: 32
Generation 61 | Revalues: 13458 | GridSize: 33
Generation 62 | Revalues: 13706 | GridSize: 40
Generation 63 | Revalues: 13930 | GridSize: 50
Generation 64 | Revalues: 14172 | GridSize: 52
Generation 65 | Revalues: 14400 | GridSize: 41
Generation 66 | Revalues: 14594 | GridSize: 38
Generation 67 | Revalues: 14814 | GridSize: 29
Generation 68 | Revalues: 15050 | GridSize: 27
Generation 69 | Revalues: 15256 | GridSize: 27
Generation 70 | Revalues: 15482 | GridSize: 22
Generation 71 | Revalues: 15706 | GridSize: 25
Generation 72 | Revalues: 15930 | GridSize: 28
Generation 73 | Revalues: 16146 | GridSize: 31
Generation 74 | Revalues: 16370 | GridSize: 33
Generation 75 | Revalues: 16598 | GridSize: 37
Generation 76 | Revalues: 16796 | GridSize: 45
Generation 77 | Revalues: 17018 | GridSize: 50
Generation 78 | Revalues: 17244 | GridSize: 48
Generation 79 | Revalues: 17472 | GridSize: 47
Generation 80 | Revalues: 17698 | GridSize: 49
Generation 81 | Revalues: 17926 | GridSize: 46
Generation 82 | Revalues: 18150 | GridSize: 49
Generation 83 | Revalues: 18398 | GridSize: 54
Generation 84 | Revalues: 18662 | GridSize: 58
Generation 85 | Revalues: 18892 | GridSize: 60
Generation 86 | Revalues: 19112 | GridSize: 57
Generation 87 | Revalues: 19342 | GridSize: 55
Generation 88 | Revalues: 19576 | GridSize: 45
Generation 89 | Revalues: 19796 | GridSize: 47
Generation 90 | Revalues: 20034 | GridSize: 47
Generation 91 | Revalues: 20274 | GridSize: 51
Generation 92 | Revalues: 20482 | GridSize: 46
Generation 93 | Revalues: 20682 | GridSize: 46
Generation 94 | Revalues: 20884 | GridSize: 47
Generation 95 | Revalues: 21128 | GridSize: 41
Generation 96 | Revalues: 21356 | GridSize: 44
Generation 97 | Revalues: 21558 | GridSize: 42
Generation 98 | Revalues: 21774 | GridSize: 40
Generation 99 | Revalues: 21996 | GridSize: 39
Generation 100 | Revalues: 22210 | GridSize: 43
Generation 101 | Revalues: 22424 | GridSize: 41
Generation 102 | Revalues: 22654 | GridSize: 40
Generation 103 | Revalues: 22866 | GridSize: 40
Generation 104 | Revalues: 23056 | GridSize: 47 | LOCAL SEARCH EXECUTED
Generation 105 | Revalues: 280157 | GridSize: 295 | LOCAL SEARCH EXECUTED
Generation 106 | Revalues: 371236 | GridSize: 298
Generation 107 | Revalues: 371462 | GridSize: 298 | LOCAL SEARCH EXECUTED
Generation 108 | Revalues: 449472 | GridSize: 300
Generation 109 | Revalues: 449700 | GridSize: 300
Generation 110 | Revalues: 449932 | GridSize: 300
Generation 111 | Revalues: 450140 | GridSize: 300
Generation 112 | Revalues: 450364 | GridSize: 300
Generation 113 | Revalues: 450604 | GridSize: 300 | LOCAL SEARCH EXECUTED
Generation 114 | Revalues: 528454 | GridSize: 299
Generation 115 | Revalues: 528686 | GridSize: 299
Generation 116 | Revalues: 528938 | GridSize: 299
Generation 117 | Revalues: 529166 | GridSize: 299
Generation 118 | Revalues: 529390 | GridSize: 299
Generation 119 | Revalues: 529586 | GridSize: 299
Generation 120 | Revalues: 529822 | GridSize: 299
Generation 121 | Revalues: 530054 | GridSize: 299 | LOCAL SEARCH EXECUTED
Generation 122 | Revalues: 600911 | GridSize: 300 | LOCAL SEARCH EXECUTED
Generation 123 | Revalues: 682333 | GridSize: 300 | LOCAL SEARCH EXECUTED
Generation 124 | Revalues: 759832 | GridSize: 299 | LOCAL SEARCH EXECUTED
Generation 125 | Revalues: 837038 | GridSize: 300
Generation 126 | Revalues: 837252 | GridSize: 300 | LOCAL SEARCH EXECUTED
Generation 127 | Revalues: 910745 | GridSize: 300 | LOCAL SEARCH EXECUTED
Generation 128 | Revalues: 990875 | GridSize: 300 | LOCAL SEARCH EXECUTED
