Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 286 | GridSize: 15
Generation 2 | Revalues: 504 | GridSize: 18
Generation 3 | Revalues: 706 | GridSize: 20
Generation 4 | Revalues: 896 | GridSize: 23
Generation 5 | Revalues: 1060 | GridSize: 28
Generation 6 | Revalues: 1244 | GridSize: 33
Generation 7 | Revalues: 1430 | GridSize: 22
Generation 8 | Revalues: 1644 | GridSize: 33
Generation 9 | Revalues: 1832 | GridSize: 36
Generation 10 | Revalues: 2044 | GridSize: 33
Generation 11 | Revalues: 2256 | GridSize: 26
Generation 12 | Revalues: 2472 | GridSize: 33
Generation 13 | Revalues: 2680 | GridSize: 28
Generation 14 | Revalues: 2874 | GridSize: 30
Generation 15 | Revalues: 3058 | GridSize: 38
Generation 16 | Revalues: 3252 | GridSize: 37
Generation 17 | Revalues: 3472 | GridSize: 44
Generation 18 | Revalues: 3656 | GridSize: 39
Generation 19 | Revalues: 3854 | GridSize: 42
Generation 20 | Revalues: 4022 | GridSize: 51
Generation 21 | Revalues: 4214 | GridSize: 51
Generation 22 | Revalues: 4416 | GridSize: 50
Generation 23 | Revalues: 4634 | GridSize: 46
Generation 24 | Revalues: 4840 | GridSize: 52
Generation 25 | Revalues: 5042 | GridSize: 51
Generation 26 | Revalues: 5232 | GridSize: 53
Generation 27 | Revalues: 5462 | GridSize: 56
Generation 28 | Revalues: 5650 | GridSize: 54
Generation 29 | Revalues: 5850 | GridSize: 52
Generation 30 | Revalues: 6062 | GridSize: 58
Generation 31 | Revalues: 6270 | GridSize: 63
Generation 32 | Revalues: 6464 | GridSize: 59
Generation 33 | Revalues: 6668 | GridSize: 56
Generation 34 | Revalues: 6868 | GridSize: 60
Generation 35 | Revalues: 7068 | GridSize: 52
Generation 36 | Revalues: 7270 | GridSize: 55
Generation 37 | Revalues: 7470 | GridSize: 55
Generation 38 | Revalues: 7664 | GridSize: 50
Generation 39 | Revalues: 7886 | GridSize: 49
Generation 40 | Revalues: 8098 | GridSize: 57
Generation 41 | Revalues: 8314 | GridSize: 54
Generation 42 | Revalues: 8516 | GridSize: 58
Generation 43 | Revalues: 8716 | GridSize: 63
Generation 44 | Revalues: 8918 | GridSize: 54
Generation 45 | Revalues: 9142 | GridSize: 49
Generation 46 | Revalues: 9348 | GridSize: 49 | LOCAL SEARCH EXECUTED
Generation 47 | Revalues: 795767 | GridSize: 300 | LOCAL SEARCH EXECUTED
Generation 48 | Revalues: 991001 | GridSize: 287 | LOCAL SEARCH EXECUTED
