Generation 0 | Revalues: 100 | GridSize: 8
Generation 1 | Revalues: 310 | GridSize: 10
Generation 2 | Revalues: 544 | GridSize: 9
Generation 3 | Revalues: 764 | GridSize: 9
Generation 4 | Revalues: 996 | GridSize: 10
Generation 5 | Revalues: 1212 | GridSize: 7
Generation 6 | Revalues: 1428 | GridSize: 12
Generation 7 | Revalues: 1666 | GridSize: 11
Generation 8 | Revalues: 1894 | GridSize: 13
Generation 9 | Revalues: 2124 | GridSize: 12
Generation 10 | Revalues: 2356 | GridSize: 19
Generation 11 | Revalues: 2562 | GridSize: 15
Generation 12 | Revalues: 2786 | GridSize: 11
Generation 13 | Revalues: 3026 | GridSize: 18
Generation 14 | Revalues: 3238 | GridSize: 15
Generation 15 | Revalues: 3472 | GridSize: 15
Generation 16 | Revalues: 3704 | GridSize: 19
Generation 17 | Revalues: 3936 | GridSize: 21
Generation 18 | Revalues: 4166 | GridSize: 16
Generation 19 | Revalues: 4392 | GridSize: 20
Generation 20 | Revalues: 4618 | GridSize: 25
Generation 21 | Revalues: 4810 | GridSize: 24
Generation 22 | Revalues: 5036 | GridSize: 31
Generation 23 | Revalues: 5266 | GridSize: 31
Generation 24 | Revalues: 5482 | GridSize: 27
Generation 25 | Revalues: 5734 | GridSize: 32
Generation 26 | Revalues: 5938 | GridSize: 32
Generation 27 | Revalues: 6136 | GridSize: 30
Generation 28 | Revalues: 6342 | GridSize: 29
Generation 29 | Revalues: 6574 | GridSize: 32
Generation 30 | Revalues: 6796 | GridSize: 30
Generation 31 | Revalues: 7032 | GridSize: 25
Generation 32 | Revalues: 7266 | GridSize: 33
Generation 33 | Revalues: 7472 | GridSize: 40
Generation 34 | Revalues: 7698 | GridSize: 37
Generation 35 | Revalues: 7906 | GridSize: 35
Generation 36 | Revalues: 8142 | GridSize: 32
Generation 37 | Revalues: 8368 | GridSize: 32
Generation 38 | Revalues: 8592 | GridSize: 39
Generation 39 | Revalues: 8824 | GridSize: 41
Generation 40 | Revalues: 9050 | GridSize: 39
Generation 41 | Revalues: 9262 | GridSize: 41
Generation 42 | Revalues: 9474 | GridSize: 39
Generation 43 | Revalues: 9688 | GridSize: 42
Generation 44 | Revalues: 9888 | GridSize: 30
Generation 45 | Revalues: 10116 | GridSize: 33
Generation 46 | Revalues: 10328 | GridSize: 28
Generation 47 | Revalues: 10566 | GridSize: 26
Generation 48 | Revalues: 10796 | GridSize: 30
Generation 49 | Revalues: 10996 | GridSize: 30
Generation 50 | Revalues: 11198 | GridSize: 35
Generation 51 | Revalues: 11408 | GridSize: 45
Generation 52 | Revalues: 11630 | GridSize: 42
Generation 53 | Revalues: 11840 | GridSize: 35
Generation 54 | Revalues: 12068 | GridSize: 35
Generation 55 | Revalues: 12256 | GridSize: 37
Generation 56 | Revalues: 12480 | GridSize: 32
Generation 57 | Revalues: 12686 | GridSize: 29
Generation 58 | Revalues: 12890 | GridSize: 30
Generation 59 | Revalues: 13108 | GridSize: 34
Generation 60 | Revalues: 13330 | GridSize: 37
Generation 61 | Revalues: 13558 | GridSize: 36
Generation 62 | Revalues: 13772 | GridSize: 38
Generation 63 | Revalues: 13984 | GridSize: 38
Generation 64 | Revalues: 14182 | GridSize: 45
Generation 65 | Revalues: 14398 | GridSize: 53
Generation 66 | Revalues: 14616 | GridSize: 53
Generation 67 | Revalues: 14834 | GridSize: 54
Generation 68 | Revalues: 15072 | GridSize: 48
Generation 69 | Revalues: 15296 | GridSize: 36
Generation 70 | Revalues: 15522 | GridSize: 33
Generation 71 | Revalues: 15714 | GridSize: 37
Generation 72 | Revalues: 15972 | GridSize: 35
Generation 73 | Revalues: 16202 | GridSize: 38
Generation 74 | Revalues: 16422 | GridSize: 33
Generation 75 | Revalues: 16634 | GridSize: 36 | LOCAL SEARCH EXECUTED
Generation 76 | Revalues: 435191 | GridSize: 300
Generation 77 | Revalues: 435413 | GridSize: 300
Generation 78 | Revalues: 435655 | GridSize: 300
Generation 79 | Revalues: 435843 | GridSize: 300
Generation 80 | Revalues: 436047 | GridSize: 300
Generation 81 | Revalues: 436279 | GridSize: 300
Generation 82 | Revalues: 436517 | GridSize: 300
Generation 83 | Revalues: 436745 | GridSize: 300
Generation 84 | Revalues: 436971 | GridSize: 300 | LOCAL SEARCH EXECUTED
Generation 85 | Revalues: 586703 | GridSize: 300 | LOCAL SEARCH EXECUTED
Generation 86 | Revalues: 715755 | GridSize: 299 | LOCAL SEARCH EXECUTED
Generation 87 | Revalues: 858838 | GridSize: 300 | LOCAL SEARCH EXECUTED
Generation 88 | Revalues: 948085 | GridSize: 300 | LOCAL SEARCH EXECUTED
