Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 320 | GridSize: 9
Generation 2 | Revalues: 536 | GridSize: 13
Generation 3 | Revalues: 754 | GridSize: 11
Generation 4 | Revalues: 972 | GridSize: 14
Generation 5 | Revalues: 1174 | GridSize: 8
Generation 6 | Revalues: 1388 | GridSize: 7
Generation 7 | Revalues: 1596 | GridSize: 8
Generation 8 | Revalues: 1810 | GridSize: 13
Generation 9 | Revalues: 2052 | GridSize: 12
Generation 10 | Revalues: 2278 | GridSize: 16
Generation 11 | Revalues: 2478 | GridSize: 14
Generation 12 | Revalues: 2710 | GridSize: 15
Generation 13 | Revalues: 2932 | GridSize: 14
Generation 14 | Revalues: 3144 | GridSize: 16
Generation 15 | Revalues: 3350 | GridSize: 19
Generation 16 | Revalues: 3568 | GridSize: 16
Generation 17 | Revalues: 3794 | GridSize: 23
Generation 18 | Revalues: 4004 | GridSize: 17
Generation 19 | Revalues: 4264 | GridSize: 19
Generation 20 | Revalues: 4492 | GridSize: 19
Generation 21 | Revalues: 4708 | GridSize: 12
Generation 22 | Revalues: 4916 | GridSize: 17
Generation 23 | Revalues: 5128 | GridSize: 23
Generation 24 | Revalues: 5336 | GridSize: 24
Generation 25 | Revalues: 5552 | GridSize: 25
Generation 26 | Revalues: 5774 | GridSize: 25
Generation 27 | Revalues: 5988 | GridSize: 20
Generation 28 | Revalues: 6194 | GridSize: 25
Generation 29 | Revalues: 6408 | GridSize: 21
Generation 30 | Revalues: 6648 | GridSize: 23
Generation 31 | Revalues: 6874 | GridSize: 19
Generation 32 | Revalues: 7096 | GridSize: 17
Generation 33 | Revalues: 7324 | GridSize: 22
Generation 34 | Revalues: 7544 | GridSize: 16
Generation 35 | Revalues: 7760 | GridSize: 21
Generation 36 | Revalues: 7986 | GridSize: 22
Generation 37 | Revalues: 8218 | GridSize: 15
Generation 38 | Revalues: 8436 | GridSize: 18
Generation 39 | Revalues: 8642 | GridSize: 21
Generation 40 | Revalues: 8848 | GridSize: 24
Generation 41 | Revalues: 9066 | GridSize: 24
Generation 42 | Revalues: 9294 | GridSize: 27
Generation 43 | Revalues: 9494 | GridSize: 28
Generation 44 | Revalues: 9724 | GridSize: 27
Generation 45 | Revalues: 9946 | GridSize: 26
Generation 46 | Revalues: 10170 | GridSize: 20
Generation 47 | Revalues: 10378 | GridSize: 23
Generation 48 | Revalues: 10606 | GridSize: 29
Generation 49 | Revalues: 10794 | GridSize: 31
Generation 50 | Revalues: 11028 | GridSize: 24
Generation 51 | Revalues: 11260 | GridSize: 28
Generation 52 | Revalues: 11476 | GridSize: 31
Generation 53 | Revalues: 11672 | GridSize: 26
Generation 54 | Revalues: 11874 | GridSize: 30
Generation 55 | Revalues: 12102 | GridSize: 31
Generation 56 | Revalues: 12316 | GridSize: 33
Generation 57 | Revalues: 12554 | GridSize: 19
Generation 58 | Revalues: 12758 | GridSize: 19
Generation 59 | Revalues: 12958 | GridSize: 21
Generation 60 | Revalues: 13160 | GridSize: 24
Generation 61 | Revalues: 13350 | GridSize: 23
Generation 62 | Revalues: 13588 | GridSize: 29
Generation 63 | Revalues: 13802 | GridSize: 36
Generation 64 | Revalues: 14026 | GridSize: 34
Generation 65 | Revalues: 14218 | GridSize: 36
Generation 66 | Revalues: 14432 | GridSize: 39
Generation 67 | Revalues: 14652 | GridSize: 45
Generation 68 | Revalues: 14844 | GridSize: 39
Generation 69 | Revalues: 15076 | GridSize: 39
Generation 70 | Revalues: 15286 | GridSize: 40
Generation 71 | Revalues: 15494 | GridSize: 31
Generation 72 | Revalues: 15712 | GridSize: 33
Generation 73 | Revalues: 15942 | GridSize: 32
Generation 74 | Revalues: 16166 | GridSize: 28
Generation 75 | Revalues: 16396 | GridSize: 22
Generation 76 | Revalues: 16630 | GridSize: 28
Generation 77 | Revalues: 16858 | GridSize: 29
Generation 78 | Revalues: 17080 | GridSize: 26
Generation 79 | Revalues: 17282 | GridSize: 28
Generation 80 | Revalues: 17508 | GridSize: 33
Generation 81 | Revalues: 17728 | GridSize: 34
Generation 82 | Revalues: 17946 | GridSize: 31
Generation 83 | Revalues: 18152 | GridSize: 38
Generation 84 | Revalues: 18400 | GridSize: 37
Generation 85 | Revalues: 18590 | GridSize: 41
Generation 86 | Revalues: 18816 | GridSize: 40
Generation 87 | Revalues: 19058 | GridSize: 37
Generation 88 | Revalues: 19276 | GridSize: 40
Generation 89 | Revalues: 19474 | GridSize: 38
Generation 90 | Revalues: 19682 | GridSize: 21
Generation 91 | Revalues: 19900 | GridSize: 27
Generation 92 | Revalues: 20142 | GridSize: 30
Generation 93 | Revalues: 20334 | GridSize: 30
Generation 94 | Revalues: 20578 | GridSize: 35
Generation 95 | Revalues: 20778 | GridSize: 44
Generation 96 | Revalues: 21008 | GridSize: 43
Generation 97 | Revalues: 21202 | GridSize: 41
Generation 98 | Revalues: 21420 | GridSize: 29
Generation 99 | Revalues: 21628 | GridSize: 27
Generation 100 | Revalues: 21854 | GridSize: 33
Generation 101 | Revalues: 22062 | GridSize: 32
Generation 102 | Revalues: 22280 | GridSize: 32
Generation 103 | Revalues: 22520 | GridSize: 33
Generation 104 | Revalues: 22736 | GridSize: 33
Generation 105 | Revalues: 22974 | GridSize: 32
Generation 106 | Revalues: 23190 | GridSize: 24
Generation 107 | Revalues: 23430 | GridSize: 28
