Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 312 | GridSize: 11
Generation 2 | Revalues: 498 | GridSize: 11
Generation 3 | Revalues: 702 | GridSize: 11
Generation 4 | Revalues: 894 | GridSize: 21
Generation 5 | Revalues: 1078 | GridSize: 21
Generation 6 | Revalues: 1276 | GridSize: 22
Generation 7 | Revalues: 1464 | GridSize: 23
Generation 8 | Revalues: 1658 | GridSize: 23
Generation 9 | Revalues: 1890 | GridSize: 21
Generation 10 | Revalues: 2074 | GridSize: 19
Generation 11 | Revalues: 2280 | GridSize: 22
Generation 12 | Revalues: 2472 | GridSize: 24
Generation 13 | Revalues: 2682 | GridSize: 30
Generation 14 | Revalues: 2896 | GridSize: 28
Generation 15 | Revalues: 3104 | GridSize: 28
Generation 16 | Revalues: 3298 | GridSize: 32
Generation 17 | Revalues: 3520 | GridSize: 30
Generation 18 | Revalues: 3708 | GridSize: 27
Generation 19 | Revalues: 3930 | GridSize: 34
Generation 20 | Revalues: 4158 | GridSize: 37
Generation 21 | Revalues: 4356 | GridSize: 37
Generation 22 | Revalues: 4560 | GridSize: 36
Generation 23 | Revalues: 4756 | GridSize: 39
Generation 24 | Revalues: 4924 | GridSize: 37
Generation 25 | Revalues: 5100 | GridSize: 37
Generation 26 | Revalues: 5308 | GridSize: 36
Generation 27 | Revalues: 5508 | GridSize: 45
Generation 28 | Revalues: 5716 | GridSize: 33
Generation 29 | Revalues: 5904 | GridSize: 34
Generation 30 | Revalues: 6094 | GridSize: 40
Generation 31 | Revalues: 6290 | GridSize: 44
Generation 32 | Revalues: 6500 | GridSize: 47
Generation 33 | Revalues: 6692 | GridSize: 47
Generation 34 | Revalues: 6894 | GridSize: 43
Generation 35 | Revalues: 7062 | GridSize: 48
Generation 36 | Revalues: 7252 | GridSize: 52
Generation 37 | Revalues: 7448 | GridSize: 54
Generation 38 | Revalues: 7654 | GridSize: 55
Generation 39 | Revalues: 7842 | GridSize: 53
Generation 40 | Revalues: 8036 | GridSize: 55
Generation 41 | Revalues: 8226 | GridSize: 55
Generation 42 | Revalues: 8438 | GridSize: 59
Generation 43 | Revalues: 8610 | GridSize: 60
Generation 44 | Revalues: 8824 | GridSize: 59
Generation 45 | Revalues: 9060 | GridSize: 58
Generation 46 | Revalues: 9252 | GridSize: 58
Generation 47 | Revalues: 9428 | GridSize: 60
Generation 48 | Revalues: 9626 | GridSize: 65
Generation 49 | Revalues: 9842 | GridSize: 56
Generation 50 | Revalues: 10050 | GridSize: 50
Generation 51 | Revalues: 10284 | GridSize: 60
Generation 52 | Revalues: 10480 | GridSize: 56
Generation 53 | Revalues: 10678 | GridSize: 59
Generation 54 | Revalues: 10874 | GridSize: 64
Generation 55 | Revalues: 11060 | GridSize: 54
Generation 56 | Revalues: 11280 | GridSize: 55
Generation 57 | Revalues: 11486 | GridSize: 69
Generation 58 | Revalues: 11680 | GridSize: 67
Generation 59 | Revalues: 11874 | GridSize: 71
Generation 60 | Revalues: 12060 | GridSize: 69
Generation 61 | Revalues: 12250 | GridSize: 70
Generation 62 | Revalues: 12452 | GridSize: 74
Generation 63 | Revalues: 12650 | GridSize: 87
Generation 64 | Revalues: 12870 | GridSize: 79
Generation 65 | Revalues: 13076 | GridSize: 81
Generation 66 | Revalues: 13292 | GridSize: 79
Generation 67 | Revalues: 13502 | GridSize: 73
Generation 68 | Revalues: 13704 | GridSize: 64
Generation 69 | Revalues: 13920 | GridSize: 68
Generation 70 | Revalues: 14116 | GridSize: 72
Generation 71 | Revalues: 14324 | GridSize: 77
Generation 72 | Revalues: 14510 | GridSize: 83
Generation 73 | Revalues: 14704 | GridSize: 85
Generation 74 | Revalues: 14900 | GridSize: 77
Generation 75 | Revalues: 15100 | GridSize: 81
Generation 76 | Revalues: 15302 | GridSize: 66
Generation 77 | Revalues: 15510 | GridSize: 74
Generation 78 | Revalues: 15724 | GridSize: 78
Generation 79 | Revalues: 15906 | GridSize: 82
Generation 80 | Revalues: 16106 | GridSize: 83
Generation 81 | Revalues: 16332 | GridSize: 91
Generation 82 | Revalues: 16552 | GridSize: 91
Generation 83 | Revalues: 16752 | GridSize: 79
Generation 84 | Revalues: 16962 | GridSize: 74
Generation 85 | Revalues: 17172 | GridSize: 75
Generation 86 | Revalues: 17362 | GridSize: 69
Generation 87 | Revalues: 17558 | GridSize: 72
Generation 88 | Revalues: 17758 | GridSize: 76
Generation 89 | Revalues: 17960 | GridSize: 74
Generation 90 | Revalues: 18160 | GridSize: 73
Generation 91 | Revalues: 18348 | GridSize: 76
Generation 92 | Revalues: 18550 | GridSize: 73
Generation 93 | Revalues: 18738 | GridSize: 78
Generation 94 | Revalues: 18944 | GridSize: 78
Generation 95 | Revalues: 19136 | GridSize: 79
Generation 96 | Revalues: 19348 | GridSize: 77
Generation 97 | Revalues: 19542 | GridSize: 85
Generation 98 | Revalues: 19762 | GridSize: 75
Generation 99 | Revalues: 19972 | GridSize: 72
Generation 100 | Revalues: 20164 | GridSize: 75
Generation 101 | Revalues: 20366 | GridSize: 73
Generation 102 | Revalues: 20556 | GridSize: 67
Generation 103 | Revalues: 20752 | GridSize: 68
Generation 104 | Revalues: 20956 | GridSize: 71
Generation 105 | Revalues: 21156 | GridSize: 71
Generation 106 | Revalues: 21336 | GridSize: 72
Generation 107 | Revalues: 21530 | GridSize: 71
Generation 108 | Revalues: 21714 | GridSize: 70
Generation 109 | Revalues: 21916 | GridSize: 71
Generation 110 | Revalues: 22110 | GridSize: 72
Generation 111 | Revalues: 22304 | GridSize: 72
Generation 112 | Revalues: 22504 | GridSize: 73
Generation 113 | Revalues: 22700 | GridSize: 78
Generation 114 | Revalues: 22898 | GridSize: 82
Generation 115 | Revalues: 23086 | GridSize: 88
Generation 116 | Revalues: 23270 | GridSize: 89
Generation 117 | Revalues: 23478 | GridSize: 96
Generation 118 | Revalues: 23688 | GridSize: 95
Generation 119 | Revalues: 23884 | GridSize: 94
Generation 120 | Revalues: 24060 | GridSize: 88
Generation 121 | Revalues: 24236 | GridSize: 88
Generation 122 | Revalues: 24414 | GridSize: 83
Generation 123 | Revalues: 24638 | GridSize: 84
Generation 124 | Revalues: 24816 | GridSize: 90
Generation 125 | Revalues: 25020 | GridSize: 84
Generation 126 | Revalues: 25218 | GridSize: 85
Generation 127 | Revalues: 25412 | GridSize: 83
Generation 128 | Revalues: 25598 | GridSize: 89
Generation 129 | Revalues: 25818 | GridSize: 91
Generation 130 | Revalues: 26040 | GridSize: 92
Generation 131 | Revalues: 26248 | GridSize: 96
Generation 132 | Revalues: 26472 | GridSize: 93
Generation 133 | Revalues: 26712 | GridSize: 101
Generation 134 | Revalues: 26936 | GridSize: 95
Generation 135 | Revalues: 27132 | GridSize: 94
Generation 136 | Revalues: 27332 | GridSize: 90
Generation 137 | Revalues: 27536 | GridSize: 91
Generation 138 | Revalues: 27748 | GridSize: 84
Generation 139 | Revalues: 27934 | GridSize: 83
Generation 140 | Revalues: 28136 | GridSize: 85
Generation 141 | Revalues: 28326 | GridSize: 82
Generation 142 | Revalues: 28536 | GridSize: 77
Generation 143 | Revalues: 28720 | GridSize: 82
Generation 144 | Revalues: 28908 | GridSize: 84
Generation 145 | Revalues: 29098 | GridSize: 83
Generation 146 | Revalues: 29294 | GridSize: 91
Generation 147 | Revalues: 29494 | GridSize: 90
Generation 148 | Revalues: 29718 | GridSize: 92
Generation 149 | Revalues: 29900 | GridSize: 95
Generation 150 | Revalues: 30102 | GridSize: 95
Generation 151 | Revalues: 30276 | GridSize: 103
Generation 152 | Revalues: 30478 | GridSize: 102
Generation 153 | Revalues: 30670 | GridSize: 108
Generation 154 | Revalues: 30860 | GridSize: 112
Generation 155 | Revalues: 31068 | GridSize: 116
Generation 156 | Revalues: 31272 | GridSize: 118
Generation 157 | Revalues: 31464 | GridSize: 117
Generation 158 | Revalues: 31678 | GridSize: 114
Generation 159 | Revalues: 31860 | GridSize: 118
Generation 160 | Revalues: 32052 | GridSize: 115
Generation 161 | Revalues: 32250 | GridSize: 124
Generation 162 | Revalues: 32444 | GridSize: 122
Generation 163 | Revalues: 32646 | GridSize: 116
Generation 164 | Revalues: 32828 | GridSize: 118
Generation 165 | Revalues: 33016 | GridSize: 120
Generation 166 | Revalues: 33226 | GridSize: 121
Generation 167 | Revalues: 33424 | GridSize: 124
Generation 168 | Revalues: 33604 | GridSize: 115
Generation 169 | Revalues: 33790 | GridSize: 108
Generation 170 | Revalues: 33996 | GridSize: 112
Generation 171 | Revalues: 34176 | GridSize: 110
Generation 172 | Revalues: 34372 | GridSize: 115
Generation 173 | Revalues: 34586 | GridSize: 115
Generation 174 | Revalues: 34762 | GridSize: 113
Generation 175 | Revalues: 34982 | GridSize: 112
Generation 176 | Revalues: 35176 | GridSize: 112
Generation 177 | Revalues: 35390 | GridSize: 111
Generation 178 | Revalues: 35588 | GridSize: 117
Generation 179 | Revalues: 35818 | GridSize: 113
Generation 180 | Revalues: 36052 | GridSize: 116
Generation 181 | Revalues: 36274 | GridSize: 121
Generation 182 | Revalues: 36462 | GridSize: 116
Generation 183 | Revalues: 36662 | GridSize: 116
Generation 184 | Revalues: 36864 | GridSize: 112
Generation 185 | Revalues: 37062 | GridSize: 111
Generation 186 | Revalues: 37264 | GridSize: 111
Generation 187 | Revalues: 37450 | GridSize: 115
Generation 188 | Revalues: 37652 | GridSize: 116
Generation 189 | Revalues: 37842 | GridSize: 114
Generation 190 | Revalues: 38078 | GridSize: 118
Generation 191 | Revalues: 38284 | GridSize: 126
Generation 192 | Revalues: 38470 | GridSize: 127
Generation 193 | Revalues: 38672 | GridSize: 125
Generation 194 | Revalues: 38892 | GridSize: 128
Generation 195 | Revalues: 39114 | GridSize: 125
Generation 196 | Revalues: 39326 | GridSize: 122
Generation 197 | Revalues: 39530 | GridSize: 128
Generation 198 | Revalues: 39738 | GridSize: 124
Generation 199 | Revalues: 39928 | GridSize: 124
Generation 200 | Revalues: 40132 | GridSize: 125
Generation 201 | Revalues: 40320 | GridSize: 129
Generation 202 | Revalues: 40500 | GridSize: 132
Generation 203 | Revalues: 40708 | GridSize: 133
Generation 204 | Revalues: 40912 | GridSize: 131
Generation 205 | Revalues: 41134 | GridSize: 134
Generation 206 | Revalues: 41336 | GridSize: 138
Generation 207 | Revalues: 41554 | GridSize: 136
Generation 208 | Revalues: 41752 | GridSize: 140
Generation 209 | Revalues: 41946 | GridSize: 135
Generation 210 | Revalues: 42146 | GridSize: 138
Generation 211 | Revalues: 42344 | GridSize: 138
Generation 212 | Revalues: 42530 | GridSize: 141
Generation 213 | Revalues: 42726 | GridSize: 145
Generation 214 | Revalues: 42918 | GridSize: 145
Generation 215 | Revalues: 43114 | GridSize: 145
Generation 216 | Revalues: 43348 | GridSize: 147
Generation 217 | Revalues: 43544 | GridSize: 137
Generation 218 | Revalues: 43754 | GridSize: 133
Generation 219 | Revalues: 43938 | GridSize: 135
Generation 220 | Revalues: 44140 | GridSize: 141
Generation 221 | Revalues: 44358 | GridSize: 146
Generation 222 | Revalues: 44562 | GridSize: 149
Generation 223 | Revalues: 44726 | GridSize: 148
Generation 224 | Revalues: 44926 | GridSize: 143
Generation 225 | Revalues: 45150 | GridSize: 143
Generation 226 | Revalues: 45354 | GridSize: 147
Generation 227 | Revalues: 45524 | GridSize: 147
Generation 228 | Revalues: 45726 | GridSize: 146
Generation 229 | Revalues: 45918 | GridSize: 146
Generation 230 | Revalues: 46140 | GridSize: 143
Generation 231 | Revalues: 46330 | GridSize: 148
Generation 232 | Revalues: 46536 | GridSize: 149
Generation 233 | Revalues: 46700 | GridSize: 149
Generation 234 | Revalues: 46890 | GridSize: 148
Generation 235 | Revalues: 47090 | GridSize: 150
Generation 236 | Revalues: 47308 | GridSize: 151
Generation 237 | Revalues: 47508 | GridSize: 147
Generation 238 | Revalues: 47710 | GridSize: 150
Generation 239 | Revalues: 47898 | GridSize: 148
Generation 240 | Revalues: 48092 | GridSize: 147
Generation 241 | Revalues: 48290 | GridSize: 144
Generation 242 | Revalues: 48480 | GridSize: 142
Generation 243 | Revalues: 48686 | GridSize: 145
Generation 244 | Revalues: 48876 | GridSize: 148
Generation 245 | Revalues: 49072 | GridSize: 153
Generation 246 | Revalues: 49258 | GridSize: 153
Generation 247 | Revalues: 49480 | GridSize: 162
Generation 248 | Revalues: 49684 | GridSize: 165
Generation 249 | Revalues: 49870 | GridSize: 167
Generation 250 | Revalues: 50072 | GridSize: 168
Generation 251 | Revalues: 50270 | GridSize: 170
Generation 252 | Revalues: 50502 | GridSize: 171
Generation 253 | Revalues: 50698 | GridSize: 176
Generation 254 | Revalues: 50910 | GridSize: 180
Generation 255 | Revalues: 51112 | GridSize: 184
Generation 256 | Revalues: 51322 | GridSize: 184
Generation 257 | Revalues: 51520 | GridSize: 182
Generation 258 | Revalues: 51688 | GridSize: 185
Generation 259 | Revalues: 51894 | GridSize: 184
Generation 260 | Revalues: 52118 | GridSize: 185
Generation 261 | Revalues: 52318 | GridSize: 185
Generation 262 | Revalues: 52524 | GridSize: 186
Generation 263 | Revalues: 52732 | GridSize: 189
Generation 264 | Revalues: 52916 | GridSize: 189
Generation 265 | Revalues: 53118 | GridSize: 190
Generation 266 | Revalues: 53322 | GridSize: 192
Generation 267 | Revalues: 53544 | GridSize: 194
Generation 268 | Revalues: 53766 | GridSize: 196
Generation 269 | Revalues: 53974 | GridSize: 189
Generation 270 | Revalues: 54176 | GridSize: 193
Generation 271 | Revalues: 54362 | GridSize: 187
Generation 272 | Revalues: 54574 | GridSize: 186
Generation 273 | Revalues: 54780 | GridSize: 189
Generation 274 | Revalues: 54968 | GridSize: 189
Generation 275 | Revalues: 55176 | GridSize: 185
Generation 276 | Revalues: 55388 | GridSize: 184
