Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 336 | GridSize: 9
Generation 2 | Revalues: 512 | GridSize: 14
Generation 3 | Revalues: 698 | GridSize: 17
Generation 4 | Revalues: 888 | GridSize: 21
Generation 5 | Revalues: 1120 | GridSize: 17
Generation 6 | Revalues: 1308 | GridSize: 18
Generation 7 | Revalues: 1514 | GridSize: 29
Generation 8 | Revalues: 1726 | GridSize: 34
Generation 9 | Revalues: 1938 | GridSize: 25
Generation 10 | Revalues: 2118 | GridSize: 28
Generation 11 | Revalues: 2330 | GridSize: 30
Generation 12 | Revalues: 2552 | GridSize: 31
Generation 13 | Revalues: 2754 | GridSize: 34
Generation 14 | Revalues: 2966 | GridSize: 36
Generation 15 | Revalues: 3180 | GridSize: 39
Generation 16 | Revalues: 3368 | GridSize: 37
Generation 17 | Revalues: 3576 | GridSize: 39
Generation 18 | Revalues: 3758 | GridSize: 37
Generation 19 | Revalues: 3964 | GridSize: 41
Generation 20 | Revalues: 4150 | GridSize: 40
Generation 21 | Revalues: 4346 | GridSize: 35
Generation 22 | Revalues: 4548 | GridSize: 38
Generation 23 | Revalues: 4768 | GridSize: 40
Generation 24 | Revalues: 4970 | GridSize: 46
Generation 25 | Revalues: 5164 | GridSize: 48
Generation 26 | Revalues: 5356 | GridSize: 49
Generation 27 | Revalues: 5550 | GridSize: 49
Generation 28 | Revalues: 5726 | GridSize: 51
Generation 29 | Revalues: 5924 | GridSize: 48
Generation 30 | Revalues: 6110 | GridSize: 47
Generation 31 | Revalues: 6302 | GridSize: 49
Generation 32 | Revalues: 6508 | GridSize: 52
Generation 33 | Revalues: 6718 | GridSize: 53
Generation 34 | Revalues: 6898 | GridSize: 52
Generation 35 | Revalues: 7088 | GridSize: 53
Generation 36 | Revalues: 7298 | GridSize: 56
Generation 37 | Revalues: 7494 | GridSize: 56
Generation 38 | Revalues: 7678 | GridSize: 57
Generation 39 | Revalues: 7902 | GridSize: 59
Generation 40 | Revalues: 8120 | GridSize: 59
Generation 41 | Revalues: 8308 | GridSize: 62
Generation 42 | Revalues: 8516 | GridSize: 62
Generation 43 | Revalues: 8716 | GridSize: 59
Generation 44 | Revalues: 8892 | GridSize: 61
Generation 45 | Revalues: 9092 | GridSize: 66
Generation 46 | Revalues: 9288 | GridSize: 63
Generation 47 | Revalues: 9480 | GridSize: 63
Generation 48 | Revalues: 9690 | GridSize: 63
Generation 49 | Revalues: 9894 | GridSize: 63
Generation 50 | Revalues: 10108 | GridSize: 63
Generation 51 | Revalues: 10312 | GridSize: 63
Generation 52 | Revalues: 10510 | GridSize: 64
Generation 53 | Revalues: 10738 | GridSize: 65
Generation 54 | Revalues: 10932 | GridSize: 67
Generation 55 | Revalues: 11100 | GridSize: 71
Generation 56 | Revalues: 11334 | GridSize: 71
Generation 57 | Revalues: 11508 | GridSize: 71
Generation 58 | Revalues: 11710 | GridSize: 72
Generation 59 | Revalues: 11920 | GridSize: 68
Generation 60 | Revalues: 12104 | GridSize: 68
Generation 61 | Revalues: 12316 | GridSize: 70
Generation 62 | Revalues: 12520 | GridSize: 70
Generation 63 | Revalues: 12702 | GridSize: 70
Generation 64 | Revalues: 12886 | GridSize: 71
Generation 65 | Revalues: 13090 | GridSize: 71
Generation 66 | Revalues: 13282 | GridSize: 72
Generation 67 | Revalues: 13476 | GridSize: 72
Generation 68 | Revalues: 13672 | GridSize: 75
Generation 69 | Revalues: 13858 | GridSize: 76
Generation 70 | Revalues: 14056 | GridSize: 79
Generation 71 | Revalues: 14268 | GridSize: 81
Generation 72 | Revalues: 14494 | GridSize: 82
Generation 73 | Revalues: 14702 | GridSize: 82
Generation 74 | Revalues: 14914 | GridSize: 79
Generation 75 | Revalues: 15134 | GridSize: 79
Generation 76 | Revalues: 15312 | GridSize: 79
Generation 77 | Revalues: 15524 | GridSize: 80
Generation 78 | Revalues: 15722 | GridSize: 81
Generation 79 | Revalues: 15922 | GridSize: 81
Generation 80 | Revalues: 16140 | GridSize: 81
Generation 81 | Revalues: 16364 | GridSize: 81
Generation 82 | Revalues: 16560 | GridSize: 81
Generation 83 | Revalues: 16756 | GridSize: 81
Generation 84 | Revalues: 16956 | GridSize: 82
Generation 85 | Revalues: 17178 | GridSize: 82
Generation 86 | Revalues: 17378 | GridSize: 83
Generation 87 | Revalues: 17580 | GridSize: 83
Generation 88 | Revalues: 17792 | GridSize: 83
Generation 89 | Revalues: 17984 | GridSize: 82
Generation 90 | Revalues: 18164 | GridSize: 83
Generation 91 | Revalues: 18352 | GridSize: 83
Generation 92 | Revalues: 18578 | GridSize: 83
Generation 93 | Revalues: 18804 | GridSize: 83
Generation 94 | Revalues: 18992 | GridSize: 81
Generation 95 | Revalues: 19180 | GridSize: 81
Generation 96 | Revalues: 19372 | GridSize: 81
Generation 97 | Revalues: 19572 | GridSize: 81
Generation 98 | Revalues: 19794 | GridSize: 82
Generation 99 | Revalues: 19972 | GridSize: 82
Generation 100 | Revalues: 20174 | GridSize: 84
Generation 101 | Revalues: 20390 | GridSize: 85
Generation 102 | Revalues: 20580 | GridSize: 86
Generation 103 | Revalues: 20748 | GridSize: 86
Generation 104 | Revalues: 20946 | GridSize: 84
Generation 105 | Revalues: 21142 | GridSize: 84
Generation 106 | Revalues: 21338 | GridSize: 84
Generation 107 | Revalues: 21548 | GridSize: 82
Generation 108 | Revalues: 21762 | GridSize: 83
Generation 109 | Revalues: 21962 | GridSize: 84
Generation 110 | Revalues: 22166 | GridSize: 84
Generation 111 | Revalues: 22364 | GridSize: 85
Generation 112 | Revalues: 22570 | GridSize: 85
Generation 113 | Revalues: 22758 | GridSize: 85
Generation 114 | Revalues: 22962 | GridSize: 85
Generation 115 | Revalues: 23194 | GridSize: 87
Generation 116 | Revalues: 23380 | GridSize: 88
Generation 117 | Revalues: 23578 | GridSize: 86
Generation 118 | Revalues: 23770 | GridSize: 86
Generation 119 | Revalues: 23948 | GridSize: 87
Generation 120 | Revalues: 24148 | GridSize: 88
Generation 121 | Revalues: 24364 | GridSize: 88
