Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 290 | GridSize: 6
Generation 2 | Revalues: 500 | GridSize: 11
Generation 3 | Revalues: 740 | GridSize: 11
Generation 4 | Revalues: 944 | GridSize: 15
Generation 5 | Revalues: 1154 | GridSize: 11
Generation 6 | Revalues: 1358 | GridSize: 14
Generation 7 | Revalues: 1580 | GridSize: 16
Generation 8 | Revalues: 1810 | GridSize: 10
Generation 9 | Revalues: 2058 | GridSize: 15
Generation 10 | Revalues: 2292 | GridSize: 19
Generation 11 | Revalues: 2514 | GridSize: 20
Generation 12 | Revalues: 2730 | GridSize: 20
Generation 13 | Revalues: 2950 | GridSize: 21
Generation 14 | Revalues: 3174 | GridSize: 15
Generation 15 | Revalues: 3408 | GridSize: 21
Generation 16 | Revalues: 3614 | GridSize: 25
Generation 17 | Revalues: 3832 | GridSize: 29
Generation 18 | Revalues: 4040 | GridSize: 31
Generation 19 | Revalues: 4244 | GridSize: 30
Generation 20 | Revalues: 4456 | GridSize: 21
Generation 21 | Revalues: 4668 | GridSize: 27
Generation 22 | Revalues: 4888 | GridSize: 28
Generation 23 | Revalues: 5114 | GridSize: 20
Generation 24 | Revalues: 5328 | GridSize: 22
Generation 25 | Revalues: 5546 | GridSize: 21
Generation 26 | Revalues: 5790 | GridSize: 28
Generation 27 | Revalues: 5982 | GridSize: 35
Generation 28 | Revalues: 6190 | GridSize: 28
Generation 29 | Revalues: 6414 | GridSize: 29
Generation 30 | Revalues: 6630 | GridSize: 34
Generation 31 | Revalues: 6860 | GridSize: 30
Generation 32 | Revalues: 7078 | GridSize: 31
Generation 33 | Revalues: 7278 | GridSize: 24
Generation 34 | Revalues: 7486 | GridSize: 27
Generation 35 | Revalues: 7690 | GridSize: 33
Generation 36 | Revalues: 7900 | GridSize: 37
Generation 37 | Revalues: 8088 | GridSize: 36
Generation 38 | Revalues: 8318 | GridSize: 39
Generation 39 | Revalues: 8530 | GridSize: 40
Generation 40 | Revalues: 8718 | GridSize: 35
Generation 41 | Revalues: 8928 | GridSize: 31
Generation 42 | Revalues: 9150 | GridSize: 27
Generation 43 | Revalues: 9380 | GridSize: 21
Generation 44 | Revalues: 9608 | GridSize: 25
Generation 45 | Revalues: 9826 | GridSize: 30
Generation 46 | Revalues: 10060 | GridSize: 36
Generation 47 | Revalues: 10282 | GridSize: 36
Generation 48 | Revalues: 10480 | GridSize: 42
Generation 49 | Revalues: 10706 | GridSize: 37
Generation 50 | Revalues: 10906 | GridSize: 29
Generation 51 | Revalues: 11118 | GridSize: 26
Generation 52 | Revalues: 11352 | GridSize: 30
Generation 53 | Revalues: 11600 | GridSize: 32
Generation 54 | Revalues: 11804 | GridSize: 37
Generation 55 | Revalues: 12038 | GridSize: 35
Generation 56 | Revalues: 12270 | GridSize: 39 | LOCAL SEARCH EXECUTED
