Generation 0 | Revalues: 100 | GridSize: 7
Generation 1 | Revalues: 328 | GridSize: 3
Generation 2 | Revalues: 564 | GridSize: 10
Generation 3 | Revalues: 766 | GridSize: 15
Generation 4 | Revalues: 968 | GridSize: 11
Generation 5 | Revalues: 1184 | GridSize: 8
Generation 6 | Revalues: 1416 | GridSize: 14
Generation 7 | Revalues: 1668 | GridSize: 17
Generation 8 | Revalues: 1860 | GridSize: 9
Generation 9 | Revalues: 2080 | GridSize: 10
Generation 10 | Revalues: 2282 | GridSize: 13
Generation 11 | Revalues: 2512 | GridSize: 14
Generation 12 | Revalues: 2752 | GridSize: 20
Generation 13 | Revalues: 2972 | GridSize: 29
Generation 14 | Revalues: 3196 | GridSize: 25
Generation 15 | Revalues: 3420 | GridSize: 27
Generation 16 | Revalues: 3622 | GridSize: 23
Generation 17 | Revalues: 3836 | GridSize: 25
Generation 18 | Revalues: 4058 | GridSize: 27
Generation 19 | Revalues: 4292 | GridSize: 28
Generation 20 | Revalues: 4498 | GridSize: 25
Generation 21 | Revalues: 4724 | GridSize: 26
Generation 22 | Revalues: 4968 | GridSize: 28
Generation 23 | Revalues: 5180 | GridSize: 35
Generation 24 | Revalues: 5400 | GridSize: 32
Generation 25 | Revalues: 5600 | GridSize: 30
Generation 26 | Revalues: 5830 | GridSize: 29
Generation 27 | Revalues: 6058 | GridSize: 26
Generation 28 | Revalues: 6274 | GridSize: 22
Generation 29 | Revalues: 6492 | GridSize: 27
Generation 30 | Revalues: 6684 | GridSize: 23
Generation 31 | Revalues: 6892 | GridSize: 28
Generation 32 | Revalues: 7098 | GridSize: 31
Generation 33 | Revalues: 7330 | GridSize: 36
Generation 34 | Revalues: 7544 | GridSize: 38
Generation 35 | Revalues: 7780 | GridSize: 29
Generation 36 | Revalues: 7990 | GridSize: 33
Generation 37 | Revalues: 8202 | GridSize: 27
Generation 38 | Revalues: 8400 | GridSize: 32
Generation 39 | Revalues: 8620 | GridSize: 32
Generation 40 | Revalues: 8834 | GridSize: 26
Generation 41 | Revalues: 9034 | GridSize: 23
Generation 42 | Revalues: 9270 | GridSize: 30
Generation 43 | Revalues: 9504 | GridSize: 37
Generation 44 | Revalues: 9726 | GridSize: 44
Generation 45 | Revalues: 9948 | GridSize: 44
Generation 46 | Revalues: 10176 | GridSize: 40
Generation 47 | Revalues: 10398 | GridSize: 37
Generation 48 | Revalues: 10596 | GridSize: 33
Generation 49 | Revalues: 10826 | GridSize: 37
Generation 50 | Revalues: 11066 | GridSize: 34
Generation 51 | Revalues: 11264 | GridSize: 38
Generation 52 | Revalues: 11502 | GridSize: 40
Generation 53 | Revalues: 11714 | GridSize: 34
Generation 54 | Revalues: 11942 | GridSize: 41
Generation 55 | Revalues: 12152 | GridSize: 40
Generation 56 | Revalues: 12352 | GridSize: 38
Generation 57 | Revalues: 12570 | GridSize: 35
Generation 58 | Revalues: 12794 | GridSize: 36
Generation 59 | Revalues: 13024 | GridSize: 43
Generation 60 | Revalues: 13254 | GridSize: 42
Generation 61 | Revalues: 13454 | GridSize: 45
Generation 62 | Revalues: 13692 | GridSize: 41
Generation 63 | Revalues: 13916 | GridSize: 38
Generation 64 | Revalues: 14114 | GridSize: 37
Generation 65 | Revalues: 14342 | GridSize: 45
Generation 66 | Revalues: 14552 | GridSize: 41
Generation 67 | Revalues: 14782 | GridSize: 46
Generation 68 | Revalues: 15020 | GridSize: 48
Generation 69 | Revalues: 15232 | GridSize: 50
Generation 70 | Revalues: 15460 | GridSize: 41
Generation 71 | Revalues: 15680 | GridSize: 46
Generation 72 | Revalues: 15880 | GridSize: 53
Generation 73 | Revalues: 16090 | GridSize: 52
Generation 74 | Revalues: 16306 | GridSize: 59
Generation 75 | Revalues: 16514 | GridSize: 57
Generation 76 | Revalues: 16746 | GridSize: 58
Generation 77 | Revalues: 16988 | GridSize: 54
Generation 78 | Revalues: 17228 | GridSize: 61
Generation 79 | Revalues: 17438 | GridSize: 53
Generation 80 | Revalues: 17642 | GridSize: 62
Generation 81 | Revalues: 17860 | GridSize: 63
Generation 82 | Revalues: 18086 | GridSize: 62
Generation 83 | Revalues: 18330 | GridSize: 57
Generation 84 | Revalues: 18520 | GridSize: 61
Generation 85 | Revalues: 18728 | GridSize: 54
Generation 86 | Revalues: 18952 | GridSize: 49
Generation 87 | Revalues: 19158 | GridSize: 60
Generation 88 | Revalues: 19402 | GridSize: 60 | LOCAL SEARCH EXECUTED
