Generation 0 | Revalues: 100 | GridSize: 6
Generation 1 | Revalues: 296 | GridSize: 6
Generation 2 | Revalues: 526 | GridSize: 11
Generation 3 | Revalues: 762 | GridSize: 17
Generation 4 | Revalues: 990 | GridSize: 12
Generation 5 | Revalues: 1198 | GridSize: 9
Generation 6 | Revalues: 1424 | GridSize: 14
Generation 7 | Revalues: 1640 | GridSize: 18
Generation 8 | Revalues: 1854 | GridSize: 11
Generation 9 | Revalues: 2092 | GridSize: 17
Generation 10 | Revalues: 2328 | GridSize: 20
Generation 11 | Revalues: 2574 | GridSize: 18
Generation 12 | Revalues: 2798 | GridSize: 12
Generation 13 | Revalues: 3018 | GridSize: 13
Generation 14 | Revalues: 3248 | GridSize: 16
Generation 15 | Revalues: 3442 | GridSize: 15
Generation 16 | Revalues: 3676 | GridSize: 14
Generation 17 | Revalues: 3922 | GridSize: 16
Generation 18 | Revalues: 4150 | GridSize: 12
Generation 19 | Revalues: 4380 | GridSize: 15
Generation 20 | Revalues: 4606 | GridSize: 14
Generation 21 | Revalues: 4818 | GridSize: 15
Generation 22 | Revalues: 5036 | GridSize: 21
Generation 23 | Revalues: 5266 | GridSize: 28
Generation 24 | Revalues: 5510 | GridSize: 28
Generation 25 | Revalues: 5712 | GridSize: 29
Generation 26 | Revalues: 5928 | GridSize: 27
Generation 27 | Revalues: 6138 | GridSize: 26
Generation 28 | Revalues: 6354 | GridSize: 24
Generation 29 | Revalues: 6552 | GridSize: 25
Generation 30 | Revalues: 6760 | GridSize: 22
Generation 31 | Revalues: 6976 | GridSize: 26
Generation 32 | Revalues: 7196 | GridSize: 27
Generation 33 | Revalues: 7402 | GridSize: 27
Generation 34 | Revalues: 7616 | GridSize: 22
Generation 35 | Revalues: 7816 | GridSize: 20
Generation 36 | Revalues: 8042 | GridSize: 20
Generation 37 | Revalues: 8256 | GridSize: 19
Generation 38 | Revalues: 8494 | GridSize: 20
Generation 39 | Revalues: 8708 | GridSize: 31
Generation 40 | Revalues: 8908 | GridSize: 31
Generation 41 | Revalues: 9118 | GridSize: 33
Generation 42 | Revalues: 9346 | GridSize: 34
Generation 43 | Revalues: 9566 | GridSize: 38
Generation 44 | Revalues: 9798 | GridSize: 43
Generation 45 | Revalues: 10018 | GridSize: 43
Generation 46 | Revalues: 10236 | GridSize: 44
Generation 47 | Revalues: 10446 | GridSize: 46
Generation 48 | Revalues: 10642 | GridSize: 50
Generation 49 | Revalues: 10848 | GridSize: 51
Generation 50 | Revalues: 11062 | GridSize: 49
Generation 51 | Revalues: 11292 | GridSize: 44
Generation 52 | Revalues: 11518 | GridSize: 40
Generation 53 | Revalues: 11712 | GridSize: 46
Generation 54 | Revalues: 11914 | GridSize: 46
Generation 55 | Revalues: 12144 | GridSize: 42
Generation 56 | Revalues: 12358 | GridSize: 46
Generation 57 | Revalues: 12578 | GridSize: 45
Generation 58 | Revalues: 12812 | GridSize: 39
Generation 59 | Revalues: 13040 | GridSize: 45
Generation 60 | Revalues: 13262 | GridSize: 44
Generation 61 | Revalues: 13474 | GridSize: 49
Generation 62 | Revalues: 13714 | GridSize: 55
Generation 63 | Revalues: 13912 | GridSize: 63
Generation 64 | Revalues: 14134 | GridSize: 57
Generation 65 | Revalues: 14334 | GridSize: 62
Generation 66 | Revalues: 14552 | GridSize: 58
Generation 67 | Revalues: 14772 | GridSize: 59
Generation 68 | Revalues: 15004 | GridSize: 49
Generation 69 | Revalues: 15234 | GridSize: 54
Generation 70 | Revalues: 15454 | GridSize: 49
Generation 71 | Revalues: 15668 | GridSize: 49
Generation 72 | Revalues: 15886 | GridSize: 54
Generation 73 | Revalues: 16086 | GridSize: 56
Generation 74 | Revalues: 16282 | GridSize: 58
Generation 75 | Revalues: 16498 | GridSize: 64
Generation 76 | Revalues: 16740 | GridSize: 62
Generation 77 | Revalues: 16972 | GridSize: 59
Generation 78 | Revalues: 17198 | GridSize: 57
Generation 79 | Revalues: 17410 | GridSize: 52
Generation 80 | Revalues: 17616 | GridSize: 54
Generation 81 | Revalues: 17868 | GridSize: 57
Generation 82 | Revalues: 18100 | GridSize: 58
Generation 83 | Revalues: 18310 | GridSize: 62
Generation 84 | Revalues: 18524 | GridSize: 61
Generation 85 | Revalues: 18748 | GridSize: 65
Generation 86 | Revalues: 19000 | GridSize: 68
Generation 87 | Revalues: 19236 | GridSize: 69
Generation 88 | Revalues: 19480 | GridSize: 76
Generation 89 | Revalues: 19702 | GridSize: 77
Generation 90 | Revalues: 19932 | GridSize: 74
Generation 91 | Revalues: 20164 | GridSize: 62
Generation 92 | Revalues: 20358 | GridSize: 60
Generation 93 | Revalues: 20574 | GridSize: 58
Generation 94 | Revalues: 20784 | GridSize: 60
Generation 95 | Revalues: 21004 | GridSize: 66
Generation 96 | Revalues: 21218 | GridSize: 63
Generation 97 | Revalues: 21464 | GridSize: 63
Generation 98 | Revalues: 21680 | GridSize: 65
Generation 99 | Revalues: 21890 | GridSize: 67
Generation 100 | Revalues: 22104 | GridSize: 74
Generation 101 | Revalues: 22334 | GridSize: 75
Generation 102 | Revalues: 22560 | GridSize: 81
Generation 103 | Revalues: 22778 | GridSize: 79
Generation 104 | Revalues: 22986 | GridSize: 82
Generation 105 | Revalues: 23216 | GridSize: 85
Generation 106 | Revalues: 23434 | GridSize: 87
Generation 107 | Revalues: 23662 | GridSize: 88
Generation 108 | Revalues: 23874 | GridSize: 88
Generation 109 | Revalues: 24100 | GridSize: 90
Generation 110 | Revalues: 24322 | GridSize: 101
Generation 111 | Revalues: 24546 | GridSize: 101
Generation 112 | Revalues: 24754 | GridSize: 99
Generation 113 | Revalues: 24982 | GridSize: 101
Generation 114 | Revalues: 25190 | GridSize: 102
Generation 115 | Revalues: 25390 | GridSize: 106
Generation 116 | Revalues: 25602 | GridSize: 106
Generation 117 | Revalues: 25816 | GridSize: 95
