Generation 0 | Revalues: 100 | GridSize: 4
Generation 1 | Revalues: 326 | GridSize: 9
Generation 2 | Revalues: 534 | GridSize: 10
Generation 3 | Revalues: 748 | GridSize: 13
Generation 4 | Revalues: 980 | GridSize: 12
Generation 5 | Revalues: 1218 | GridSize: 15
Generation 6 | Revalues: 1424 | GridSize: 17
Generation 7 | Revalues: 1660 | GridSize: 17
Generation 8 | Revalues: 1872 | GridSize: 15
Generation 9 | Revalues: 2112 | GridSize: 19
Generation 10 | Revalues: 2368 | GridSize: 21
Generation 11 | Revalues: 2600 | GridSize: 23
Generation 12 | Revalues: 2804 | GridSize: 22
Generation 13 | Revalues: 3026 | GridSize: 28
Generation 14 | Revalues: 3244 | GridSize: 30
Generation 15 | Revalues: 3478 | GridSize: 22
Generation 16 | Revalues: 3706 | GridSize: 24
Generation 17 | Revalues: 3930 | GridSize: 39
Generation 18 | Revalues: 4140 | GridSize: 33
Generation 19 | Revalues: 4334 | GridSize: 35
Generation 20 | Revalues: 4550 | GridSize: 35
Generation 21 | Revalues: 4756 | GridSize: 37
Generation 22 | Revalues: 4982 | GridSize: 26
Generation 23 | Revalues: 5230 | GridSize: 34
Generation 24 | Revalues: 5450 | GridSize: 36
Generation 25 | Revalues: 5682 | GridSize: 31
Generation 26 | Revalues: 5924 | GridSize: 32
Generation 27 | Revalues: 6144 | GridSize: 33
Generation 28 | Revalues: 6378 | GridSize: 30
Generation 29 | Revalues: 6602 | GridSize: 36
Generation 30 | Revalues: 6830 | GridSize: 37
Generation 31 | Revalues: 7056 | GridSize: 37
Generation 32 | Revalues: 7272 | GridSize: 30
Generation 33 | Revalues: 7484 | GridSize: 31
Generation 34 | Revalues: 7706 | GridSize: 25
Generation 35 | Revalues: 7948 | GridSize: 27
Generation 36 | Revalues: 8160 | GridSize: 33
Generation 37 | Revalues: 8362 | GridSize: 41
Generation 38 | Revalues: 8618 | GridSize: 34
Generation 39 | Revalues: 8846 | GridSize: 33
Generation 40 | Revalues: 9056 | GridSize: 32
Generation 41 | Revalues: 9306 | GridSize: 38
Generation 42 | Revalues: 9500 | GridSize: 35
Generation 43 | Revalues: 9730 | GridSize: 43
Generation 44 | Revalues: 9956 | GridSize: 39
Generation 45 | Revalues: 10172 | GridSize: 29
Generation 46 | Revalues: 10394 | GridSize: 27
Generation 47 | Revalues: 10610 | GridSize: 36
Generation 48 | Revalues: 10822 | GridSize: 34
Generation 49 | Revalues: 11046 | GridSize: 37
Generation 50 | Revalues: 11282 | GridSize: 45
Generation 51 | Revalues: 11500 | GridSize: 36
Generation 52 | Revalues: 11722 | GridSize: 41
Generation 53 | Revalues: 11946 | GridSize: 39
Generation 54 | Revalues: 12190 | GridSize: 39
Generation 55 | Revalues: 12414 | GridSize: 39
Generation 56 | Revalues: 12632 | GridSize: 39
Generation 57 | Revalues: 12826 | GridSize: 39
Generation 58 | Revalues: 13038 | GridSize: 45
Generation 59 | Revalues: 13296 | GridSize: 44
Generation 60 | Revalues: 13506 | GridSize: 48
Generation 61 | Revalues: 13744 | GridSize: 51
Generation 62 | Revalues: 13950 | GridSize: 42
Generation 63 | Revalues: 14176 | GridSize: 37
Generation 64 | Revalues: 14384 | GridSize: 39
Generation 65 | Revalues: 14604 | GridSize: 41
Generation 66 | Revalues: 14836 | GridSize: 44
Generation 67 | Revalues: 15082 | GridSize: 53
Generation 68 | Revalues: 15280 | GridSize: 51
Generation 69 | Revalues: 15522 | GridSize: 57
Generation 70 | Revalues: 15728 | GridSize: 59
Generation 71 | Revalues: 15976 | GridSize: 62
Generation 72 | Revalues: 16196 | GridSize: 65
Generation 73 | Revalues: 16418 | GridSize: 63
Generation 74 | Revalues: 16608 | GridSize: 64
Generation 75 | Revalues: 16834 | GridSize: 65
Generation 76 | Revalues: 17058 | GridSize: 68
Generation 77 | Revalues: 17274 | GridSize: 67
Generation 78 | Revalues: 17496 | GridSize: 63
Generation 79 | Revalues: 17714 | GridSize: 60
Generation 80 | Revalues: 17948 | GridSize: 54
Generation 81 | Revalues: 18182 | GridSize: 59
Generation 82 | Revalues: 18402 | GridSize: 54
Generation 83 | Revalues: 18608 | GridSize: 55
Generation 84 | Revalues: 18840 | GridSize: 62
Generation 85 | Revalues: 19070 | GridSize: 55
Generation 86 | Revalues: 19296 | GridSize: 58
Generation 87 | Revalues: 19510 | GridSize: 58
Generation 88 | Revalues: 19738 | GridSize: 60
Generation 89 | Revalues: 19960 | GridSize: 60
Generation 90 | Revalues: 20176 | GridSize: 58
Generation 91 | Revalues: 20398 | GridSize: 60
