Generation 0 | Revalues: 100 | GridSize: 4
Generation 1 | Revalues: 318 | GridSize: 8
Generation 2 | Revalues: 544 | GridSize: 10
Generation 3 | Revalues: 744 | GridSize: 11
Generation 4 | Revalues: 940 | GridSize: 14
Generation 5 | Revalues: 1150 | GridSize: 12
Generation 6 | Revalues: 1370 | GridSize: 16
Generation 7 | Revalues: 1610 | GridSize: 20
Generation 8 | Revalues: 1824 | GridSize: 23
Generation 9 | Revalues: 2042 | GridSize: 25
Generation 10 | Revalues: 2270 | GridSize: 23
Generation 11 | Revalues: 2494 | GridSize: 25
Generation 12 | Revalues: 2720 | GridSize: 23
Generation 13 | Revalues: 2926 | GridSize: 21
Generation 14 | Revalues: 3146 | GridSize: 21
Generation 15 | Revalues: 3370 | GridSize: 16
Generation 16 | Revalues: 3578 | GridSize: 17
Generation 17 | Revalues: 3796 | GridSize: 26
Generation 18 | Revalues: 3992 | GridSize: 29
Generation 19 | Revalues: 4238 | GridSize: 29
Generation 20 | Revalues: 4440 | GridSize: 33
Generation 21 | Revalues: 4666 | GridSize: 36
Generation 22 | Revalues: 4874 | GridSize: 28
Generation 23 | Revalues: 5092 | GridSize: 25
Generation 24 | Revalues: 5324 | GridSize: 21
Generation 25 | Revalues: 5552 | GridSize: 29
Generation 26 | Revalues: 5784 | GridSize: 33
Generation 27 | Revalues: 5998 | GridSize: 38
Generation 28 | Revalues: 6220 | GridSize: 36
Generation 29 | Revalues: 6450 | GridSize: 32
Generation 30 | Revalues: 6652 | GridSize: 30
Generation 31 | Revalues: 6870 | GridSize: 31
Generation 32 | Revalues: 7082 | GridSize: 33
Generation 33 | Revalues: 7292 | GridSize: 35
Generation 34 | Revalues: 7542 | GridSize: 36
Generation 35 | Revalues: 7750 | GridSize: 39
Generation 36 | Revalues: 7990 | GridSize: 32
Generation 37 | Revalues: 8214 | GridSize: 32
Generation 38 | Revalues: 8436 | GridSize: 34
Generation 39 | Revalues: 8634 | GridSize: 37
Generation 40 | Revalues: 8854 | GridSize: 33
Generation 41 | Revalues: 9090 | GridSize: 33
Generation 42 | Revalues: 9298 | GridSize: 39
Generation 43 | Revalues: 9510 | GridSize: 44
Generation 44 | Revalues: 9738 | GridSize: 49
Generation 45 | Revalues: 9950 | GridSize: 48
Generation 46 | Revalues: 10192 | GridSize: 42
Generation 47 | Revalues: 10426 | GridSize: 38
Generation 48 | Revalues: 10650 | GridSize: 39
Generation 49 | Revalues: 10868 | GridSize: 44
Generation 50 | Revalues: 11084 | GridSize: 47
Generation 51 | Revalues: 11296 | GridSize: 49
Generation 52 | Revalues: 11516 | GridSize: 54
Generation 53 | Revalues: 11758 | GridSize: 58
Generation 54 | Revalues: 11956 | GridSize: 55
