Generation 0 | Revalues: 100 | GridSize: 8
Generation 1 | Revalues: 312 | GridSize: 9
Generation 2 | Revalues: 526 | GridSize: 12
Generation 3 | Revalues: 756 | GridSize: 11
Generation 4 | Revalues: 1006 | GridSize: 17
Generation 5 | Revalues: 1208 | GridSize: 10
Generation 6 | Revalues: 1434 | GridSize: 15
Generation 7 | Revalues: 1664 | GridSize: 15
Generation 8 | Revalues: 1928 | GridSize: 18
Generation 9 | Revalues: 2158 | GridSize: 20
Generation 10 | Revalues: 2370 | GridSize: 21
Generation 11 | Revalues: 2574 | GridSize: 19
Generation 12 | Revalues: 2790 | GridSize: 19
Generation 13 | Revalues: 3022 | GridSize: 17
Generation 14 | Revalues: 3232 | GridSize: 18
Generation 15 | Revalues: 3440 | GridSize: 22
Generation 16 | Revalues: 3678 | GridSize: 24
Generation 17 | Revalues: 3928 | GridSize: 24
Generation 18 | Revalues: 4158 | GridSize: 22
Generation 19 | Revalues: 4366 | GridSize: 25
Generation 20 | Revalues: 4588 | GridSize: 17
Generation 21 | Revalues: 4798 | GridSize: 22
Generation 22 | Revalues: 5000 | GridSize: 27
Generation 23 | Revalues: 5234 | GridSize: 32
Generation 24 | Revalues: 5446 | GridSize: 27
Generation 25 | Revalues: 5662 | GridSize: 28
Generation 26 | Revalues: 5884 | GridSize: 32
Generation 27 | Revalues: 6110 | GridSize: 31
Generation 28 | Revalues: 6306 | GridSize: 32
Generation 29 | Revalues: 6518 | GridSize: 43
Generation 30 | Revalues: 6730 | GridSize: 44
Generation 31 | Revalues: 6944 | GridSize: 39
Generation 32 | Revalues: 7186 | GridSize: 36
Generation 33 | Revalues: 7420 | GridSize: 40
Generation 34 | Revalues: 7660 | GridSize: 38
Generation 35 | Revalues: 7892 | GridSize: 45
Generation 36 | Revalues: 8124 | GridSize: 42
Generation 37 | Revalues: 8358 | GridSize: 43
Generation 38 | Revalues: 8560 | GridSize: 39
Generation 39 | Revalues: 8802 | GridSize: 40
Generation 40 | Revalues: 8998 | GridSize: 39
Generation 41 | Revalues: 9206 | GridSize: 43
Generation 42 | Revalues: 9464 | GridSize: 37
Generation 43 | Revalues: 9686 | GridSize: 30
Generation 44 | Revalues: 9902 | GridSize: 30
Generation 45 | Revalues: 10126 | GridSize: 32
Generation 46 | Revalues: 10350 | GridSize: 26
