Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 282 | GridSize: 10
Generation 2 | Revalues: 488 | GridSize: 14
Generation 3 | Revalues: 684 | GridSize: 20
Generation 4 | Revalues: 890 | GridSize: 25
Generation 5 | Revalues: 1074 | GridSize: 17
Generation 6 | Revalues: 1264 | GridSize: 21
Generation 7 | Revalues: 1460 | GridSize: 28
Generation 8 | Revalues: 1656 | GridSize: 34
Generation 9 | Revalues: 1858 | GridSize: 36
Generation 10 | Revalues: 2038 | GridSize: 37
Generation 11 | Revalues: 2246 | GridSize: 32
Generation 12 | Revalues: 2442 | GridSize: 33
Generation 13 | Revalues: 2636 | GridSize: 38
Generation 14 | Revalues: 2828 | GridSize: 39
Generation 15 | Revalues: 3026 | GridSize: 40
Generation 16 | Revalues: 3220 | GridSize: 37
Generation 17 | Revalues: 3436 | GridSize: 40
Generation 18 | Revalues: 3632 | GridSize: 41
Generation 19 | Revalues: 3836 | GridSize: 44
Generation 20 | Revalues: 4020 | GridSize: 44
Generation 21 | Revalues: 4212 | GridSize: 42
Generation 22 | Revalues: 4418 | GridSize: 52
Generation 23 | Revalues: 4638 | GridSize: 54
Generation 24 | Revalues: 4822 | GridSize: 55
Generation 25 | Revalues: 5030 | GridSize: 56
Generation 26 | Revalues: 5240 | GridSize: 57
Generation 27 | Revalues: 5422 | GridSize: 59
Generation 28 | Revalues: 5648 | GridSize: 62
Generation 29 | Revalues: 5858 | GridSize: 65
Generation 30 | Revalues: 6048 | GridSize: 64
Generation 31 | Revalues: 6246 | GridSize: 63
Generation 32 | Revalues: 6454 | GridSize: 69
Generation 33 | Revalues: 6624 | GridSize: 71
Generation 34 | Revalues: 6798 | GridSize: 73
Generation 35 | Revalues: 6972 | GridSize: 69
Generation 36 | Revalues: 7150 | GridSize: 73
Generation 37 | Revalues: 7342 | GridSize: 76
Generation 38 | Revalues: 7552 | GridSize: 77
Generation 39 | Revalues: 7760 | GridSize: 78
Generation 40 | Revalues: 7988 | GridSize: 79
Generation 41 | Revalues: 8190 | GridSize: 79
Generation 42 | Revalues: 8390 | GridSize: 74
Generation 43 | Revalues: 8612 | GridSize: 77
Generation 44 | Revalues: 8788 | GridSize: 75
Generation 45 | Revalues: 8960 | GridSize: 75
Generation 46 | Revalues: 9156 | GridSize: 76
Generation 47 | Revalues: 9376 | GridSize: 77
Generation 48 | Revalues: 9606 | GridSize: 77
Generation 49 | Revalues: 9806 | GridSize: 78
Generation 50 | Revalues: 10006 | GridSize: 83
Generation 51 | Revalues: 10190 | GridSize: 84
Generation 52 | Revalues: 10398 | GridSize: 83
Generation 53 | Revalues: 10604 | GridSize: 78
Generation 54 | Revalues: 10782 | GridSize: 77
Generation 55 | Revalues: 10970 | GridSize: 77
Generation 56 | Revalues: 11164 | GridSize: 79
Generation 57 | Revalues: 11370 | GridSize: 84
Generation 58 | Revalues: 11554 | GridSize: 86
Generation 59 | Revalues: 11740 | GridSize: 88
Generation 60 | Revalues: 11936 | GridSize: 84
Generation 61 | Revalues: 12136 | GridSize: 82
Generation 62 | Revalues: 12336 | GridSize: 77
Generation 63 | Revalues: 12536 | GridSize: 78
Generation 64 | Revalues: 12728 | GridSize: 79
Generation 65 | Revalues: 12948 | GridSize: 82
Generation 66 | Revalues: 13140 | GridSize: 81
Generation 67 | Revalues: 13352 | GridSize: 79 | LOCAL SEARCH EXECUTED
