Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 282 | GridSize: 9
Generation 2 | Revalues: 492 | GridSize: 15
Generation 3 | Revalues: 694 | GridSize: 22
Generation 4 | Revalues: 900 | GridSize: 27
Generation 5 | Revalues: 1086 | GridSize: 22
Generation 6 | Revalues: 1278 | GridSize: 24
Generation 7 | Revalues: 1488 | GridSize: 26
Generation 8 | Revalues: 1672 | GridSize: 27
Generation 9 | Revalues: 1836 | GridSize: 28
Generation 10 | Revalues: 2040 | GridSize: 26
Generation 11 | Revalues: 2226 | GridSize: 30
Generation 12 | Revalues: 2418 | GridSize: 25
Generation 13 | Revalues: 2626 | GridSize: 26
Generation 14 | Revalues: 2828 | GridSize: 29
Generation 15 | Revalues: 3048 | GridSize: 31
Generation 16 | Revalues: 3244 | GridSize: 33
Generation 17 | Revalues: 3434 | GridSize: 36
Generation 18 | Revalues: 3640 | GridSize: 36
Generation 19 | Revalues: 3814 | GridSize: 42
Generation 20 | Revalues: 4026 | GridSize: 46
Generation 21 | Revalues: 4198 | GridSize: 45
Generation 22 | Revalues: 4398 | GridSize: 46
Generation 23 | Revalues: 4596 | GridSize: 47
Generation 24 | Revalues: 4802 | GridSize: 47
Generation 25 | Revalues: 4998 | GridSize: 42
Generation 26 | Revalues: 5216 | GridSize: 43
Generation 27 | Revalues: 5414 | GridSize: 46
Generation 28 | Revalues: 5600 | GridSize: 46
Generation 29 | Revalues: 5800 | GridSize: 46
Generation 30 | Revalues: 5990 | GridSize: 47
Generation 31 | Revalues: 6212 | GridSize: 48
Generation 32 | Revalues: 6416 | GridSize: 44
Generation 33 | Revalues: 6626 | GridSize: 43
Generation 34 | Revalues: 6792 | GridSize: 44
Generation 35 | Revalues: 6998 | GridSize: 46
Generation 36 | Revalues: 7174 | GridSize: 49
Generation 37 | Revalues: 7374 | GridSize: 50
Generation 38 | Revalues: 7582 | GridSize: 49
Generation 39 | Revalues: 7772 | GridSize: 52
Generation 40 | Revalues: 7982 | GridSize: 50
Generation 41 | Revalues: 8186 | GridSize: 50
Generation 42 | Revalues: 8382 | GridSize: 52
Generation 43 | Revalues: 8588 | GridSize: 53
Generation 44 | Revalues: 8806 | GridSize: 57
Generation 45 | Revalues: 9028 | GridSize: 54
Generation 46 | Revalues: 9226 | GridSize: 53
Generation 47 | Revalues: 9438 | GridSize: 53
Generation 48 | Revalues: 9640 | GridSize: 57
Generation 49 | Revalues: 9824 | GridSize: 59
Generation 50 | Revalues: 10028 | GridSize: 58
Generation 51 | Revalues: 10250 | GridSize: 61
Generation 52 | Revalues: 10460 | GridSize: 52
Generation 53 | Revalues: 10650 | GridSize: 57
Generation 54 | Revalues: 10848 | GridSize: 57
Generation 55 | Revalues: 11076 | GridSize: 56
Generation 56 | Revalues: 11276 | GridSize: 52
Generation 57 | Revalues: 11498 | GridSize: 54
Generation 58 | Revalues: 11710 | GridSize: 56
Generation 59 | Revalues: 11922 | GridSize: 60
Generation 60 | Revalues: 12096 | GridSize: 64
Generation 61 | Revalues: 12332 | GridSize: 55
Generation 62 | Revalues: 12532 | GridSize: 55
Generation 63 | Revalues: 12714 | GridSize: 55
Generation 64 | Revalues: 12910 | GridSize: 56
Generation 65 | Revalues: 13094 | GridSize: 55
Generation 66 | Revalues: 13298 | GridSize: 63
Generation 67 | Revalues: 13516 | GridSize: 64
Generation 68 | Revalues: 13718 | GridSize: 64
Generation 69 | Revalues: 13912 | GridSize: 65
Generation 70 | Revalues: 14122 | GridSize: 67
Generation 71 | Revalues: 14318 | GridSize: 69
Generation 72 | Revalues: 14520 | GridSize: 69
Generation 73 | Revalues: 14694 | GridSize: 70
Generation 74 | Revalues: 14906 | GridSize: 73
Generation 75 | Revalues: 15104 | GridSize: 65
Generation 76 | Revalues: 15316 | GridSize: 63
Generation 77 | Revalues: 15520 | GridSize: 66
Generation 78 | Revalues: 15712 | GridSize: 67
Generation 79 | Revalues: 15914 | GridSize: 67
Generation 80 | Revalues: 16120 | GridSize: 70
Generation 81 | Revalues: 16316 | GridSize: 74
Generation 82 | Revalues: 16512 | GridSize: 78 | LOCAL SEARCH EXECUTED
Generation 83 | Revalues: 458241 | GridSize: 290
Generation 84 | Revalues: 458439 | GridSize: 290 | LOCAL SEARCH EXECUTED
Generation 85 | Revalues: 585818 | GridSize: 300 | LOCAL SEARCH EXECUTED
Generation 86 | Revalues: 704034 | GridSize: 300 | LOCAL SEARCH EXECUTED
Generation 87 | Revalues: 816544 | GridSize: 300
Generation 88 | Revalues: 816748 | GridSize: 300 | LOCAL SEARCH EXECUTED
Generation 89 | Revalues: 916012 | GridSize: 298 | LOCAL SEARCH EXECUTED
