Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 322 | GridSize: 7
Generation 2 | Revalues: 536 | GridSize: 2
Generation 3 | Revalues: 740 | GridSize: 6
Generation 4 | Revalues: 990 | GridSize: 9
Generation 5 | Revalues: 1214 | GridSize: 9
Generation 6 | Revalues: 1416 | GridSize: 11
Generation 7 | Revalues: 1646 | GridSize: 10
Generation 8 | Revalues: 1874 | GridSize: 13
Generation 9 | Revalues: 2098 | GridSize: 13
Generation 10 | Revalues: 2328 | GridSize: 16
Generation 11 | Revalues: 2544 | GridSize: 18
Generation 12 | Revalues: 2744 | GridSize: 14
Generation 13 | Revalues: 2970 | GridSize: 26
Generation 14 | Revalues: 3174 | GridSize: 14
Generation 15 | Revalues: 3390 | GridSize: 19
Generation 16 | Revalues: 3628 | GridSize: 21
Generation 17 | Revalues: 3846 | GridSize: 28
Generation 18 | Revalues: 4074 | GridSize: 32
Generation 19 | Revalues: 4290 | GridSize: 23
Generation 20 | Revalues: 4510 | GridSize: 25
Generation 21 | Revalues: 4714 | GridSize: 30
Generation 22 | Revalues: 4938 | GridSize: 29
Generation 23 | Revalues: 5156 | GridSize: 27
Generation 24 | Revalues: 5404 | GridSize: 18
Generation 25 | Revalues: 5616 | GridSize: 24
Generation 26 | Revalues: 5838 | GridSize: 32
Generation 27 | Revalues: 6070 | GridSize: 28
Generation 28 | Revalues: 6280 | GridSize: 33
Generation 29 | Revalues: 6492 | GridSize: 31
Generation 30 | Revalues: 6704 | GridSize: 32
Generation 31 | Revalues: 6932 | GridSize: 29
Generation 32 | Revalues: 7180 | GridSize: 38
Generation 33 | Revalues: 7390 | GridSize: 40
Generation 34 | Revalues: 7616 | GridSize: 35
Generation 35 | Revalues: 7834 | GridSize: 32
Generation 36 | Revalues: 8060 | GridSize: 34
Generation 37 | Revalues: 8288 | GridSize: 36
Generation 38 | Revalues: 8500 | GridSize: 31
Generation 39 | Revalues: 8710 | GridSize: 36
Generation 40 | Revalues: 8890 | GridSize: 37
Generation 41 | Revalues: 9106 | GridSize: 32
Generation 42 | Revalues: 9344 | GridSize: 39
Generation 43 | Revalues: 9558 | GridSize: 41
