Generation 0 | Revalues: 100 | GridSize: 5
Generation 1 | Revalues: 306 | GridSize: 7
Generation 2 | Revalues: 538 | GridSize: 9
Generation 3 | Revalues: 764 | GridSize: 7
Generation 4 | Revalues: 996 | GridSize: 12
Generation 5 | Revalues: 1208 | GridSize: 15
Generation 6 | Revalues: 1420 | GridSize: 13
Generation 7 | Revalues: 1622 | GridSize: 20
Generation 8 | Revalues: 1824 | GridSize: 23
Generation 9 | Revalues: 2042 | GridSize: 16
Generation 10 | Revalues: 2260 | GridSize: 17
Generation 11 | Revalues: 2474 | GridSize: 20
Generation 12 | Revalues: 2698 | GridSize: 24
Generation 13 | Revalues: 2928 | GridSize: 24
Generation 14 | Revalues: 3164 | GridSize: 24
Generation 15 | Revalues: 3388 | GridSize: 17
Generation 16 | Revalues: 3606 | GridSize: 18
Generation 17 | Revalues: 3836 | GridSize: 14
Generation 18 | Revalues: 4066 | GridSize: 17
Generation 19 | Revalues: 4272 | GridSize: 21
Generation 20 | Revalues: 4484 | GridSize: 27
Generation 21 | Revalues: 4720 | GridSize: 25
Generation 22 | Revalues: 4936 | GridSize: 22
Generation 23 | Revalues: 5172 | GridSize: 26
Generation 24 | Revalues: 5372 | GridSize: 28
Generation 25 | Revalues: 5600 | GridSize: 26
Generation 26 | Revalues: 5828 | GridSize: 22
Generation 27 | Revalues: 6058 | GridSize: 23
Generation 28 | Revalues: 6286 | GridSize: 24
Generation 29 | Revalues: 6500 | GridSize: 20
Generation 30 | Revalues: 6698 | GridSize: 23
Generation 31 | Revalues: 6920 | GridSize: 27
Generation 32 | Revalues: 7118 | GridSize: 28
Generation 33 | Revalues: 7368 | GridSize: 20
Generation 34 | Revalues: 7574 | GridSize: 20
Generation 35 | Revalues: 7760 | GridSize: 21
Generation 36 | Revalues: 7990 | GridSize: 21
Generation 37 | Revalues: 8206 | GridSize: 23
Generation 38 | Revalues: 8438 | GridSize: 28
Generation 39 | Revalues: 8638 | GridSize: 30
Generation 40 | Revalues: 8864 | GridSize: 31
Generation 41 | Revalues: 9096 | GridSize: 33
Generation 42 | Revalues: 9300 | GridSize: 38
Generation 43 | Revalues: 9534 | GridSize: 43
Generation 44 | Revalues: 9762 | GridSize: 36
Generation 45 | Revalues: 9970 | GridSize: 37
Generation 46 | Revalues: 10184 | GridSize: 37
Generation 47 | Revalues: 10404 | GridSize: 35
Generation 48 | Revalues: 10604 | GridSize: 36
Generation 49 | Revalues: 10828 | GridSize: 42
Generation 50 | Revalues: 11048 | GridSize: 38
Generation 51 | Revalues: 11264 | GridSize: 32
Generation 52 | Revalues: 11498 | GridSize: 37
Generation 53 | Revalues: 11698 | GridSize: 43
Generation 54 | Revalues: 11910 | GridSize: 45
Generation 55 | Revalues: 12148 | GridSize: 48
Generation 56 | Revalues: 12372 | GridSize: 41
Generation 57 | Revalues: 12610 | GridSize: 41
Generation 58 | Revalues: 12838 | GridSize: 40
Generation 59 | Revalues: 13060 | GridSize: 41
Generation 60 | Revalues: 13274 | GridSize: 44
Generation 61 | Revalues: 13498 | GridSize: 41
Generation 62 | Revalues: 13704 | GridSize: 38
Generation 63 | Revalues: 13920 | GridSize: 43
Generation 64 | Revalues: 14132 | GridSize: 45
Generation 65 | Revalues: 14358 | GridSize: 48
Generation 66 | Revalues: 14574 | GridSize: 37
Generation 67 | Revalues: 14798 | GridSize: 39
Generation 68 | Revalues: 15012 | GridSize: 36
Generation 69 | Revalues: 15228 | GridSize: 39
Generation 70 | Revalues: 15452 | GridSize: 43
Generation 71 | Revalues: 15654 | GridSize: 44
Generation 72 | Revalues: 15876 | GridSize: 51
Generation 73 | Revalues: 16072 | GridSize: 52
Generation 74 | Revalues: 16280 | GridSize: 56
Generation 75 | Revalues: 16484 | GridSize: 51
Generation 76 | Revalues: 16700 | GridSize: 42
Generation 77 | Revalues: 16888 | GridSize: 40
Generation 78 | Revalues: 17110 | GridSize: 38
Generation 79 | Revalues: 17308 | GridSize: 38
Generation 80 | Revalues: 17494 | GridSize: 40
Generation 81 | Revalues: 17728 | GridSize: 41
Generation 82 | Revalues: 17954 | GridSize: 44
Generation 83 | Revalues: 18172 | GridSize: 46
Generation 84 | Revalues: 18372 | GridSize: 49
Generation 85 | Revalues: 18602 | GridSize: 53
Generation 86 | Revalues: 18846 | GridSize: 52
Generation 87 | Revalues: 19052 | GridSize: 52
Generation 88 | Revalues: 19278 | GridSize: 55
Generation 89 | Revalues: 19478 | GridSize: 54
Generation 90 | Revalues: 19694 | GridSize: 48
Generation 91 | Revalues: 19898 | GridSize: 47
Generation 92 | Revalues: 20106 | GridSize: 49
Generation 93 | Revalues: 20322 | GridSize: 49
Generation 94 | Revalues: 20564 | GridSize: 52
Generation 95 | Revalues: 20778 | GridSize: 55
Generation 96 | Revalues: 20992 | GridSize: 57
Generation 97 | Revalues: 21216 | GridSize: 53
Generation 98 | Revalues: 21446 | GridSize: 47
Generation 99 | Revalues: 21632 | GridSize: 51
Generation 100 | Revalues: 21858 | GridSize: 51
Generation 101 | Revalues: 22082 | GridSize: 57
Generation 102 | Revalues: 22326 | GridSize: 64
Generation 103 | Revalues: 22560 | GridSize: 71
Generation 104 | Revalues: 22786 | GridSize: 67
Generation 105 | Revalues: 22988 | GridSize: 61
Generation 106 | Revalues: 23212 | GridSize: 56
Generation 107 | Revalues: 23432 | GridSize: 58
Generation 108 | Revalues: 23670 | GridSize: 58
Generation 109 | Revalues: 23882 | GridSize: 58
Generation 110 | Revalues: 24098 | GridSize: 50
Generation 111 | Revalues: 24322 | GridSize: 47
Generation 112 | Revalues: 24572 | GridSize: 46
Generation 113 | Revalues: 24794 | GridSize: 44
Generation 114 | Revalues: 25016 | GridSize: 48
Generation 115 | Revalues: 25230 | GridSize: 49
Generation 116 | Revalues: 25432 | GridSize: 55
Generation 117 | Revalues: 25624 | GridSize: 56
Generation 118 | Revalues: 25844 | GridSize: 57
Generation 119 | Revalues: 26062 | GridSize: 65
Generation 120 | Revalues: 26298 | GridSize: 57
Generation 121 | Revalues: 26544 | GridSize: 57
Generation 122 | Revalues: 26756 | GridSize: 54
Generation 123 | Revalues: 26980 | GridSize: 55
Generation 124 | Revalues: 27182 | GridSize: 58
Generation 125 | Revalues: 27398 | GridSize: 53
Generation 126 | Revalues: 27618 | GridSize: 54
Generation 127 | Revalues: 27836 | GridSize: 55
Generation 128 | Revalues: 28058 | GridSize: 54
Generation 129 | Revalues: 28296 | GridSize: 55
Generation 130 | Revalues: 28530 | GridSize: 58
Generation 131 | Revalues: 28736 | GridSize: 54
Generation 132 | Revalues: 28978 | GridSize: 52
Generation 133 | Revalues: 29198 | GridSize: 56
Generation 134 | Revalues: 29428 | GridSize: 60
Generation 135 | Revalues: 29658 | GridSize: 51
Generation 136 | Revalues: 29892 | GridSize: 56
Generation 137 | Revalues: 30106 | GridSize: 55
Generation 138 | Revalues: 30348 | GridSize: 51
Generation 139 | Revalues: 30570 | GridSize: 51
Generation 140 | Revalues: 30784 | GridSize: 53
Generation 141 | Revalues: 31006 | GridSize: 57
Generation 142 | Revalues: 31204 | GridSize: 59
Generation 143 | Revalues: 31414 | GridSize: 60
Generation 144 | Revalues: 31618 | GridSize: 56
Generation 145 | Revalues: 31828 | GridSize: 53
Generation 146 | Revalues: 32054 | GridSize: 52
Generation 147 | Revalues: 32282 | GridSize: 53
Generation 148 | Revalues: 32508 | GridSize: 55
Generation 149 | Revalues: 32746 | GridSize: 59
Generation 150 | Revalues: 32980 | GridSize: 48
Generation 151 | Revalues: 33200 | GridSize: 49
Generation 152 | Revalues: 33424 | GridSize: 50
Generation 153 | Revalues: 33640 | GridSize: 56
Generation 154 | Revalues: 33898 | GridSize: 62
Generation 155 | Revalues: 34108 | GridSize: 61
Generation 156 | Revalues: 34338 | GridSize: 64
Generation 157 | Revalues: 34546 | GridSize: 61
Generation 158 | Revalues: 34758 | GridSize: 64
Generation 159 | Revalues: 34960 | GridSize: 63
Generation 160 | Revalues: 35176 | GridSize: 64
Generation 161 | Revalues: 35406 | GridSize: 71
Generation 162 | Revalues: 35638 | GridSize: 73
Generation 163 | Revalues: 35860 | GridSize: 73
Generation 164 | Revalues: 36068 | GridSize: 75
Generation 165 | Revalues: 36286 | GridSize: 77
Generation 166 | Revalues: 36510 | GridSize: 76
Generation 167 | Revalues: 36754 | GridSize: 75
Generation 168 | Revalues: 36966 | GridSize: 70
Generation 169 | Revalues: 37182 | GridSize: 74
Generation 170 | Revalues: 37410 | GridSize: 73
Generation 171 | Revalues: 37658 | GridSize: 74
Generation 172 | Revalues: 37878 | GridSize: 72
Generation 173 | Revalues: 38096 | GridSize: 73
Generation 174 | Revalues: 38310 | GridSize: 77
Generation 175 | Revalues: 38520 | GridSize: 79
Generation 176 | Revalues: 38744 | GridSize: 79
Generation 177 | Revalues: 38968 | GridSize: 79
Generation 178 | Revalues: 39166 | GridSize: 75
Generation 179 | Revalues: 39372 | GridSize: 71
Generation 180 | Revalues: 39580 | GridSize: 69
Generation 181 | Revalues: 39810 | GridSize: 69
Generation 182 | Revalues: 40018 | GridSize: 70
Generation 183 | Revalues: 40266 | GridSize: 66
Generation 184 | Revalues: 40498 | GridSize: 61
Generation 185 | Revalues: 40710 | GridSize: 61
Generation 186 | Revalues: 40922 | GridSize: 56
Generation 187 | Revalues: 41134 | GridSize: 55
Generation 188 | Revalues: 41356 | GridSize: 57
Generation 189 | Revalues: 41580 | GridSize: 59
Generation 190 | Revalues: 41794 | GridSize: 60
Generation 191 | Revalues: 41994 | GridSize: 58
Generation 192 | Revalues: 42210 | GridSize: 60
Generation 193 | Revalues: 42440 | GridSize: 60
Generation 194 | Revalues: 42692 | GridSize: 62
Generation 195 | Revalues: 42922 | GridSize: 62
Generation 196 | Revalues: 43150 | GridSize: 63
Generation 197 | Revalues: 43382 | GridSize: 59
Generation 198 | Revalues: 43616 | GridSize: 62
Generation 199 | Revalues: 43836 | GridSize: 65
Generation 200 | Revalues: 44054 | GridSize: 66
Generation 201 | Revalues: 44260 | GridSize: 72
Generation 202 | Revalues: 44474 | GridSize: 75
Generation 203 | Revalues: 44708 | GridSize: 80
Generation 204 | Revalues: 44920 | GridSize: 83
Generation 205 | Revalues: 45140 | GridSize: 83
Generation 206 | Revalues: 45358 | GridSize: 84
Generation 207 | Revalues: 45592 | GridSize: 81
Generation 208 | Revalues: 45810 | GridSize: 78
Generation 209 | Revalues: 46030 | GridSize: 65
Generation 210 | Revalues: 46252 | GridSize: 62
Generation 211 | Revalues: 46470 | GridSize: 65
Generation 212 | Revalues: 46680 | GridSize: 66
Generation 213 | Revalues: 46884 | GridSize: 64
Generation 214 | Revalues: 47134 | GridSize: 62
Generation 215 | Revalues: 47356 | GridSize: 63
Generation 216 | Revalues: 47576 | GridSize: 66
Generation 217 | Revalues: 47800 | GridSize: 65
Generation 218 | Revalues: 48020 | GridSize: 70
Generation 219 | Revalues: 48222 | GridSize: 72
Generation 220 | Revalues: 48464 | GridSize: 76
Generation 221 | Revalues: 48640 | GridSize: 76
Generation 222 | Revalues: 48858 | GridSize: 80
Generation 223 | Revalues: 49102 | GridSize: 75
Generation 224 | Revalues: 49338 | GridSize: 74
Generation 225 | Revalues: 49540 | GridSize: 75
Generation 226 | Revalues: 49764 | GridSize: 71
Generation 227 | Revalues: 49990 | GridSize: 69
Generation 228 | Revalues: 50226 | GridSize: 71
Generation 229 | Revalues: 50434 | GridSize: 74
Generation 230 | Revalues: 50634 | GridSize: 76
Generation 231 | Revalues: 50860 | GridSize: 78
Generation 232 | Revalues: 51048 | GridSize: 82
Generation 233 | Revalues: 51268 | GridSize: 92
Generation 234 | Revalues: 51484 | GridSize: 93
Generation 235 | Revalues: 51722 | GridSize: 92
Generation 236 | Revalues: 51946 | GridSize: 85
Generation 237 | Revalues: 52162 | GridSize: 73
Generation 238 | Revalues: 52372 | GridSize: 67
Generation 239 | Revalues: 52592 | GridSize: 70
Generation 240 | Revalues: 52826 | GridSize: 70
Generation 241 | Revalues: 53038 | GridSize: 67
Generation 242 | Revalues: 53250 | GridSize: 69
Generation 243 | Revalues: 53480 | GridSize: 70
Generation 244 | Revalues: 53702 | GridSize: 71
Generation 245 | Revalues: 53912 | GridSize: 71
Generation 246 | Revalues: 54114 | GridSize: 70
Generation 247 | Revalues: 54336 | GridSize: 78
Generation 248 | Revalues: 54572 | GridSize: 82
Generation 249 | Revalues: 54798 | GridSize: 85
Generation 250 | Revalues: 55024 | GridSize: 87
Generation 251 | Revalues: 55242 | GridSize: 84
Generation 252 | Revalues: 55464 | GridSize: 82
Generation 253 | Revalues: 55678 | GridSize: 88
Generation 254 | Revalues: 55918 | GridSize: 90
Generation 255 | Revalues: 56158 | GridSize: 89
Generation 256 | Revalues: 56392 | GridSize: 88
Generation 257 | Revalues: 56592 | GridSize: 88
Generation 258 | Revalues: 56804 | GridSize: 87
Generation 259 | Revalues: 57046 | GridSize: 89
Generation 260 | Revalues: 57252 | GridSize: 90
Generation 261 | Revalues: 57466 | GridSize: 92
Generation 262 | Revalues: 57698 | GridSize: 88
Generation 263 | Revalues: 57938 | GridSize: 89
Generation 264 | Revalues: 58162 | GridSize: 91
Generation 265 | Revalues: 58394 | GridSize: 83
Generation 266 | Revalues: 58630 | GridSize: 79
Generation 267 | Revalues: 58844 | GridSize: 81
Generation 268 | Revalues: 59070 | GridSize: 81
Generation 269 | Revalues: 59290 | GridSize: 81
Generation 270 | Revalues: 59492 | GridSize: 83
Generation 271 | Revalues: 59708 | GridSize: 88
Generation 272 | Revalues: 59930 | GridSize: 91
Generation 273 | Revalues: 60152 | GridSize: 94
Generation 274 | Revalues: 60368 | GridSize: 94
Generation 275 | Revalues: 60584 | GridSize: 97
Generation 276 | Revalues: 60782 | GridSize: 104
Generation 277 | Revalues: 61012 | GridSize: 105
Generation 278 | Revalues: 61258 | GridSize: 106
Generation 279 | Revalues: 61486 | GridSize: 105
Generation 280 | Revalues: 61698 | GridSize: 102
Generation 281 | Revalues: 61912 | GridSize: 101
Generation 282 | Revalues: 62120 | GridSize: 103
Generation 283 | Revalues: 62358 | GridSize: 97
Generation 284 | Revalues: 62560 | GridSize: 100
Generation 285 | Revalues: 62806 | GridSize: 100
Generation 286 | Revalues: 63034 | GridSize: 100
Generation 287 | Revalues: 63266 | GridSize: 100
Generation 288 | Revalues: 63492 | GridSize: 100
Generation 289 | Revalues: 63718 | GridSize: 98
Generation 290 | Revalues: 63960 | GridSize: 98
Generation 291 | Revalues: 64170 | GridSize: 102
Generation 292 | Revalues: 64372 | GridSize: 105
Generation 293 | Revalues: 64570 | GridSize: 100
Generation 294 | Revalues: 64806 | GridSize: 103
Generation 295 | Revalues: 65028 | GridSize: 105
Generation 296 | Revalues: 65254 | GridSize: 104
Generation 297 | Revalues: 65448 | GridSize: 105
Generation 298 | Revalues: 65670 | GridSize: 105
Generation 299 | Revalues: 65878 | GridSize: 105
Generation 300 | Revalues: 66120 | GridSize: 105
Generation 301 | Revalues: 66360 | GridSize: 109
Generation 302 | Revalues: 66584 | GridSize: 107
Generation 303 | Revalues: 66800 | GridSize: 111
Generation 304 | Revalues: 67000 | GridSize: 109
Generation 305 | Revalues: 67208 | GridSize: 110
Generation 306 | Revalues: 67408 | GridSize: 112
Generation 307 | Revalues: 67602 | GridSize: 108
Generation 308 | Revalues: 67842 | GridSize: 107
Generation 309 | Revalues: 68056 | GridSize: 110
Generation 310 | Revalues: 68278 | GridSize: 106
Generation 311 | Revalues: 68494 | GridSize: 104
Generation 312 | Revalues: 68738 | GridSize: 98
Generation 313 | Revalues: 68964 | GridSize: 98
Generation 314 | Revalues: 69200 | GridSize: 101
Generation 315 | Revalues: 69394 | GridSize: 101
Generation 316 | Revalues: 69616 | GridSize: 102
Generation 317 | Revalues: 69828 | GridSize: 103
Generation 318 | Revalues: 70016 | GridSize: 107
Generation 319 | Revalues: 70240 | GridSize: 107
Generation 320 | Revalues: 70460 | GridSize: 111
Generation 321 | Revalues: 70682 | GridSize: 113
Generation 322 | Revalues: 70902 | GridSize: 111
Generation 323 | Revalues: 71110 | GridSize: 104
Generation 324 | Revalues: 71316 | GridSize: 101
Generation 325 | Revalues: 71548 | GridSize: 97
Generation 326 | Revalues: 71764 | GridSize: 102
Generation 327 | Revalues: 71990 | GridSize: 106
Generation 328 | Revalues: 72206 | GridSize: 99
Generation 329 | Revalues: 72426 | GridSize: 102
Generation 330 | Revalues: 72640 | GridSize: 104
Generation 331 | Revalues: 72856 | GridSize: 105
Generation 332 | Revalues: 73062 | GridSize: 107
Generation 333 | Revalues: 73290 | GridSize: 106
Generation 334 | Revalues: 73520 | GridSize: 98
Generation 335 | Revalues: 73752 | GridSize: 100
Generation 336 | Revalues: 73984 | GridSize: 103
Generation 337 | Revalues: 74196 | GridSize: 101
Generation 338 | Revalues: 74416 | GridSize: 104
Generation 339 | Revalues: 74650 | GridSize: 104
Generation 340 | Revalues: 74860 | GridSize: 101
Generation 341 | Revalues: 75100 | GridSize: 104
Generation 342 | Revalues: 75324 | GridSize: 102
Generation 343 | Revalues: 75498 | GridSize: 97
Generation 344 | Revalues: 75718 | GridSize: 102
Generation 345 | Revalues: 75942 | GridSize: 105
Generation 346 | Revalues: 76148 | GridSize: 107
Generation 347 | Revalues: 76356 | GridSize: 109
Generation 348 | Revalues: 76584 | GridSize: 111
Generation 349 | Revalues: 76792 | GridSize: 114
Generation 350 | Revalues: 77014 | GridSize: 114
Generation 351 | Revalues: 77224 | GridSize: 111
Generation 352 | Revalues: 77448 | GridSize: 115
Generation 353 | Revalues: 77654 | GridSize: 114
Generation 354 | Revalues: 77844 | GridSize: 113
Generation 355 | Revalues: 78076 | GridSize: 112
Generation 356 | Revalues: 78336 | GridSize: 114
Generation 357 | Revalues: 78538 | GridSize: 114
Generation 358 | Revalues: 78768 | GridSize: 116
Generation 359 | Revalues: 78974 | GridSize: 113
Generation 360 | Revalues: 79212 | GridSize: 116
Generation 361 | Revalues: 79434 | GridSize: 118
Generation 362 | Revalues: 79652 | GridSize: 120
Generation 363 | Revalues: 79886 | GridSize: 120
Generation 364 | Revalues: 80106 | GridSize: 117
Generation 365 | Revalues: 80330 | GridSize: 118
Generation 366 | Revalues: 80526 | GridSize: 119
Generation 367 | Revalues: 80758 | GridSize: 117
Generation 368 | Revalues: 80984 | GridSize: 118
Generation 369 | Revalues: 81220 | GridSize: 117
Generation 370 | Revalues: 81442 | GridSize: 116
Generation 371 | Revalues: 81666 | GridSize: 114
Generation 372 | Revalues: 81892 | GridSize: 116
Generation 373 | Revalues: 82108 | GridSize: 119
Generation 374 | Revalues: 82326 | GridSize: 123
Generation 375 | Revalues: 82546 | GridSize: 123
Generation 376 | Revalues: 82754 | GridSize: 113
Generation 377 | Revalues: 82996 | GridSize: 115
Generation 378 | Revalues: 83226 | GridSize: 117
Generation 379 | Revalues: 83444 | GridSize: 119
Generation 380 | Revalues: 83690 | GridSize: 124
Generation 381 | Revalues: 83920 | GridSize: 124
Generation 382 | Revalues: 84162 | GridSize: 116
Generation 383 | Revalues: 84398 | GridSize: 115
Generation 384 | Revalues: 84614 | GridSize: 110
Generation 385 | Revalues: 84828 | GridSize: 108
Generation 386 | Revalues: 85102 | GridSize: 113
Generation 387 | Revalues: 85330 | GridSize: 113
Generation 388 | Revalues: 85558 | GridSize: 113
Generation 389 | Revalues: 85772 | GridSize: 113
Generation 390 | Revalues: 85982 | GridSize: 114
Generation 391 | Revalues: 86222 | GridSize: 111
Generation 392 | Revalues: 86454 | GridSize: 112
Generation 393 | Revalues: 86696 | GridSize: 116
Generation 394 | Revalues: 86924 | GridSize: 116
Generation 395 | Revalues: 87150 | GridSize: 115
Generation 396 | Revalues: 87346 | GridSize: 119
Generation 397 | Revalues: 87560 | GridSize: 121
Generation 398 | Revalues: 87774 | GridSize: 117
Generation 399 | Revalues: 88012 | GridSize: 117
Generation 400 | Revalues: 88230 | GridSize: 120
Generation 401 | Revalues: 88460 | GridSize: 125
Generation 402 | Revalues: 88666 | GridSize: 127
Generation 403 | Revalues: 88912 | GridSize: 131
Generation 404 | Revalues: 89130 | GridSize: 128
Generation 405 | Revalues: 89356 | GridSize: 128
Generation 406 | Revalues: 89584 | GridSize: 130
Generation 407 | Revalues: 89806 | GridSize: 128
Generation 408 | Revalues: 90030 | GridSize: 129
Generation 409 | Revalues: 90248 | GridSize: 127
Generation 410 | Revalues: 90460 | GridSize: 128
Generation 411 | Revalues: 90672 | GridSize: 128
Generation 412 | Revalues: 90868 | GridSize: 132
Generation 413 | Revalues: 91102 | GridSize: 131
Generation 414 | Revalues: 91324 | GridSize: 127
Generation 415 | Revalues: 91554 | GridSize: 129
Generation 416 | Revalues: 91792 | GridSize: 129
Generation 417 | Revalues: 92000 | GridSize: 127
Generation 418 | Revalues: 92200 | GridSize: 128
Generation 419 | Revalues: 92414 | GridSize: 131
Generation 420 | Revalues: 92654 | GridSize: 129
Generation 421 | Revalues: 92876 | GridSize: 132
Generation 422 | Revalues: 93090 | GridSize: 132
Generation 423 | Revalues: 93304 | GridSize: 129
Generation 424 | Revalues: 93520 | GridSize: 128
Generation 425 | Revalues: 93716 | GridSize: 130
Generation 426 | Revalues: 93938 | GridSize: 130
Generation 427 | Revalues: 94178 | GridSize: 132
Generation 428 | Revalues: 94416 | GridSize: 132
Generation 429 | Revalues: 94626 | GridSize: 135
Generation 430 | Revalues: 94826 | GridSize: 139
Generation 431 | Revalues: 95072 | GridSize: 138
Generation 432 | Revalues: 95286 | GridSize: 141
Generation 433 | Revalues: 95508 | GridSize: 142
Generation 434 | Revalues: 95736 | GridSize: 143
Generation 435 | Revalues: 95972 | GridSize: 143
Generation 436 | Revalues: 96176 | GridSize: 147
Generation 437 | Revalues: 96392 | GridSize: 147
Generation 438 | Revalues: 96634 | GridSize: 148
Generation 439 | Revalues: 96866 | GridSize: 151
Generation 440 | Revalues: 97066 | GridSize: 151
Generation 441 | Revalues: 97272 | GridSize: 149
Generation 442 | Revalues: 97506 | GridSize: 148
Generation 443 | Revalues: 97706 | GridSize: 148
Generation 444 | Revalues: 97922 | GridSize: 145
Generation 445 | Revalues: 98140 | GridSize: 145
Generation 446 | Revalues: 98364 | GridSize: 145
Generation 447 | Revalues: 98574 | GridSize: 144
Generation 448 | Revalues: 98788 | GridSize: 146
Generation 449 | Revalues: 98994 | GridSize: 146
Generation 450 | Revalues: 99204 | GridSize: 144
Generation 451 | Revalues: 99412 | GridSize: 146
Generation 452 | Revalues: 99616 | GridSize: 148
Generation 453 | Revalues: 99840 | GridSize: 148
Generation 454 | Revalues: 100046 | GridSize: 148
Generation 455 | Revalues: 100274 | GridSize: 148
Generation 456 | Revalues: 100466 | GridSize: 149
Generation 457 | Revalues: 100692 | GridSize: 150
Generation 458 | Revalues: 100926 | GridSize: 152
Generation 459 | Revalues: 101160 | GridSize: 156
Generation 460 | Revalues: 101400 | GridSize: 158
Generation 461 | Revalues: 101604 | GridSize: 159
Generation 462 | Revalues: 101820 | GridSize: 160
Generation 463 | Revalues: 102036 | GridSize: 162
Generation 464 | Revalues: 102262 | GridSize: 165
Generation 465 | Revalues: 102462 | GridSize: 164
Generation 466 | Revalues: 102690 | GridSize: 165
Generation 467 | Revalues: 102906 | GridSize: 162
Generation 468 | Revalues: 103120 | GridSize: 165
Generation 469 | Revalues: 103356 | GridSize: 166
Generation 470 | Revalues: 103554 | GridSize: 167
Generation 471 | Revalues: 103778 | GridSize: 163
Generation 472 | Revalues: 104006 | GridSize: 163
Generation 473 | Revalues: 104238 | GridSize: 165
Generation 474 | Revalues: 104482 | GridSize: 166
Generation 475 | Revalues: 104686 | GridSize: 164
Generation 476 | Revalues: 104894 | GridSize: 166
Generation 477 | Revalues: 105114 | GridSize: 165
Generation 478 | Revalues: 105354 | GridSize: 165
Generation 479 | Revalues: 105588 | GridSize: 167
Generation 480 | Revalues: 105812 | GridSize: 167
Generation 481 | Revalues: 106038 | GridSize: 163
Generation 482 | Revalues: 106270 | GridSize: 159
Generation 483 | Revalues: 106454 | GridSize: 161
Generation 484 | Revalues: 106662 | GridSize: 160
Generation 485 | Revalues: 106890 | GridSize: 163
Generation 486 | Revalues: 107118 | GridSize: 165
Generation 487 | Revalues: 107358 | GridSize: 164
Generation 488 | Revalues: 107582 | GridSize: 166
Generation 489 | Revalues: 107808 | GridSize: 164
Generation 490 | Revalues: 108024 | GridSize: 163
Generation 491 | Revalues: 108262 | GridSize: 168
Generation 492 | Revalues: 108500 | GridSize: 170
Generation 493 | Revalues: 108694 | GridSize: 169
Generation 494 | Revalues: 108922 | GridSize: 172
Generation 495 | Revalues: 109126 | GridSize: 172
Generation 496 | Revalues: 109354 | GridSize: 174
Generation 497 | Revalues: 109554 | GridSize: 176
Generation 498 | Revalues: 109764 | GridSize: 176
Generation 499 | Revalues: 109980 | GridSize: 177
Generation 500 | Revalues: 110170 | GridSize: 176
Generation 501 | Revalues: 110414 | GridSize: 177
Generation 502 | Revalues: 110642 | GridSize: 176
Generation 503 | Revalues: 110868 | GridSize: 179
Generation 504 | Revalues: 111094 | GridSize: 180
Generation 505 | Revalues: 111306 | GridSize: 180
Generation 506 | Revalues: 111554 | GridSize: 181
Generation 507 | Revalues: 111784 | GridSize: 181
Generation 508 | Revalues: 112002 | GridSize: 183
Generation 509 | Revalues: 112226 | GridSize: 180
Generation 510 | Revalues: 112454 | GridSize: 183
Generation 511 | Revalues: 112652 | GridSize: 183
Generation 512 | Revalues: 112856 | GridSize: 183
Generation 513 | Revalues: 113068 | GridSize: 184
Generation 514 | Revalues: 113290 | GridSize: 187
Generation 515 | Revalues: 113490 | GridSize: 187
Generation 516 | Revalues: 113720 | GridSize: 187
Generation 517 | Revalues: 113922 | GridSize: 189
Generation 518 | Revalues: 114126 | GridSize: 189
Generation 519 | Revalues: 114342 | GridSize: 189
Generation 520 | Revalues: 114572 | GridSize: 189
Generation 521 | Revalues: 114776 | GridSize: 188
Generation 522 | Revalues: 114974 | GridSize: 189
Generation 523 | Revalues: 115188 | GridSize: 189
Generation 524 | Revalues: 115412 | GridSize: 190
Generation 525 | Revalues: 115620 | GridSize: 188
Generation 526 | Revalues: 115820 | GridSize: 191
Generation 527 | Revalues: 116032 | GridSize: 191
Generation 528 | Revalues: 116262 | GridSize: 193
Generation 529 | Revalues: 116488 | GridSize: 193
Generation 530 | Revalues: 116702 | GridSize: 191
Generation 531 | Revalues: 116938 | GridSize: 191
Generation 532 | Revalues: 117182 | GridSize: 190
Generation 533 | Revalues: 117414 | GridSize: 192
Generation 534 | Revalues: 117658 | GridSize: 194
Generation 535 | Revalues: 117898 | GridSize: 193
Generation 536 | Revalues: 118096 | GridSize: 190
Generation 537 | Revalues: 118290 | GridSize: 191
Generation 538 | Revalues: 118508 | GridSize: 191
Generation 539 | Revalues: 118710 | GridSize: 193
Generation 540 | Revalues: 118936 | GridSize: 192
Generation 541 | Revalues: 119154 | GridSize: 193
Generation 542 | Revalues: 119398 | GridSize: 194
Generation 543 | Revalues: 119616 | GridSize: 195
Generation 544 | Revalues: 119840 | GridSize: 194
Generation 545 | Revalues: 120040 | GridSize: 197
Generation 546 | Revalues: 120232 | GridSize: 194
Generation 547 | Revalues: 120470 | GridSize: 192
Generation 548 | Revalues: 120672 | GridSize: 192
