Generation 0 | Revalues: 100 | GridSize: 11
Generation 1 | Revalues: 292 | GridSize: 8
Generation 2 | Revalues: 484 | GridSize: 10
Generation 3 | Revalues: 672 | GridSize: 18
Generation 4 | Revalues: 868 | GridSize: 12
Generation 5 | Revalues: 1070 | GridSize: 9
Generation 6 | Revalues: 1266 | GridSize: 15
Generation 7 | Revalues: 1472 | GridSize: 18
Generation 8 | Revalues: 1678 | GridSize: 18
Generation 9 | Revalues: 1898 | GridSize: 16
Generation 10 | Revalues: 2076 | GridSize: 22
Generation 11 | Revalues: 2274 | GridSize: 15
Generation 12 | Revalues: 2476 | GridSize: 20
Generation 13 | Revalues: 2678 | GridSize: 19
Generation 14 | Revalues: 2868 | GridSize: 23
Generation 15 | Revalues: 3074 | GridSize: 30
Generation 16 | Revalues: 3262 | GridSize: 27
Generation 17 | Revalues: 3470 | GridSize: 28
Generation 18 | Revalues: 3680 | GridSize: 31
Generation 19 | Revalues: 3876 | GridSize: 33
Generation 20 | Revalues: 4102 | GridSize: 31
Generation 21 | Revalues: 4284 | GridSize: 29
Generation 22 | Revalues: 4474 | GridSize: 27
Generation 23 | Revalues: 4700 | GridSize: 30
Generation 24 | Revalues: 4906 | GridSize: 31
Generation 25 | Revalues: 5102 | GridSize: 36
Generation 26 | Revalues: 5308 | GridSize: 35
Generation 27 | Revalues: 5496 | GridSize: 41
Generation 28 | Revalues: 5700 | GridSize: 43
Generation 29 | Revalues: 5908 | GridSize: 52
Generation 30 | Revalues: 6118 | GridSize: 50
Generation 31 | Revalues: 6322 | GridSize: 48
Generation 32 | Revalues: 6508 | GridSize: 49
Generation 33 | Revalues: 6718 | GridSize: 47
Generation 34 | Revalues: 6902 | GridSize: 49
Generation 35 | Revalues: 7094 | GridSize: 48
Generation 36 | Revalues: 7312 | GridSize: 51
Generation 37 | Revalues: 7506 | GridSize: 55
Generation 38 | Revalues: 7690 | GridSize: 54
Generation 39 | Revalues: 7894 | GridSize: 53
Generation 40 | Revalues: 8098 | GridSize: 58
Generation 41 | Revalues: 8284 | GridSize: 62
Generation 42 | Revalues: 8462 | GridSize: 56
Generation 43 | Revalues: 8656 | GridSize: 56
Generation 44 | Revalues: 8868 | GridSize: 56
Generation 45 | Revalues: 9074 | GridSize: 58
Generation 46 | Revalues: 9272 | GridSize: 56
Generation 47 | Revalues: 9494 | GridSize: 52
Generation 48 | Revalues: 9706 | GridSize: 57
Generation 49 | Revalues: 9908 | GridSize: 57
Generation 50 | Revalues: 10112 | GridSize: 62
Generation 51 | Revalues: 10322 | GridSize: 69
Generation 52 | Revalues: 10510 | GridSize: 70
Generation 53 | Revalues: 10726 | GridSize: 63
Generation 54 | Revalues: 10942 | GridSize: 67
Generation 55 | Revalues: 11140 | GridSize: 66
Generation 56 | Revalues: 11296 | GridSize: 61
Generation 57 | Revalues: 11488 | GridSize: 59
Generation 58 | Revalues: 11696 | GridSize: 57
Generation 59 | Revalues: 11922 | GridSize: 58
Generation 60 | Revalues: 12120 | GridSize: 61
Generation 61 | Revalues: 12296 | GridSize: 61
Generation 62 | Revalues: 12486 | GridSize: 62
Generation 63 | Revalues: 12678 | GridSize: 60
Generation 64 | Revalues: 12880 | GridSize: 64
Generation 65 | Revalues: 13092 | GridSize: 62
Generation 66 | Revalues: 13264 | GridSize: 64
Generation 67 | Revalues: 13474 | GridSize: 63
Generation 68 | Revalues: 13666 | GridSize: 63
Generation 69 | Revalues: 13868 | GridSize: 54
Generation 70 | Revalues: 14068 | GridSize: 59
Generation 71 | Revalues: 14272 | GridSize: 63
Generation 72 | Revalues: 14478 | GridSize: 69
Generation 73 | Revalues: 14644 | GridSize: 68
Generation 74 | Revalues: 14836 | GridSize: 63
Generation 75 | Revalues: 15012 | GridSize: 59
