Generation 0 | Revalues: 100 | GridSize: 7
Generation 1 | Revalues: 276 | GridSize: 10
Generation 2 | Revalues: 478 | GridSize: 14
Generation 3 | Revalues: 684 | GridSize: 14
Generation 4 | Revalues: 904 | GridSize: 17
Generation 5 | Revalues: 1132 | GridSize: 23
Generation 6 | Revalues: 1342 | GridSize: 28
Generation 7 | Revalues: 1522 | GridSize: 31
Generation 8 | Revalues: 1718 | GridSize: 36
Generation 9 | Revalues: 1938 | GridSize: 37
Generation 10 | Revalues: 2146 | GridSize: 39
Generation 11 | Revalues: 2346 | GridSize: 42
Generation 12 | Revalues: 2568 | GridSize: 38
Generation 13 | Revalues: 2764 | GridSize: 45
Generation 14 | Revalues: 2958 | GridSize: 49
Generation 15 | Revalues: 3176 | GridSize: 56
Generation 16 | Revalues: 3382 | GridSize: 61
Generation 17 | Revalues: 3592 | GridSize: 63
Generation 18 | Revalues: 3762 | GridSize: 67
Generation 19 | Revalues: 3962 | GridSize: 75
Generation 20 | Revalues: 4154 | GridSize: 76
Generation 21 | Revalues: 4362 | GridSize: 77
Generation 22 | Revalues: 4572 | GridSize: 70
Generation 23 | Revalues: 4768 | GridSize: 68
Generation 24 | Revalues: 4992 | GridSize: 65
Generation 25 | Revalues: 5170 | GridSize: 71
Generation 26 | Revalues: 5360 | GridSize: 78
Generation 27 | Revalues: 5556 | GridSize: 77
Generation 28 | Revalues: 5760 | GridSize: 69
Generation 29 | Revalues: 5960 | GridSize: 74
Generation 30 | Revalues: 6190 | GridSize: 71
Generation 31 | Revalues: 6372 | GridSize: 72
Generation 32 | Revalues: 6592 | GridSize: 75
Generation 33 | Revalues: 6810 | GridSize: 77
Generation 34 | Revalues: 7020 | GridSize: 73
Generation 35 | Revalues: 7202 | GridSize: 75
Generation 36 | Revalues: 7396 | GridSize: 77
Generation 37 | Revalues: 7610 | GridSize: 80
Generation 38 | Revalues: 7798 | GridSize: 77
Generation 39 | Revalues: 7986 | GridSize: 81
Generation 40 | Revalues: 8168 | GridSize: 79
Generation 41 | Revalues: 8360 | GridSize: 78
Generation 42 | Revalues: 8572 | GridSize: 77
Generation 43 | Revalues: 8782 | GridSize: 82
Generation 44 | Revalues: 8968 | GridSize: 82
Generation 45 | Revalues: 9142 | GridSize: 86
Generation 46 | Revalues: 9328 | GridSize: 85
Generation 47 | Revalues: 9512 | GridSize: 87
Generation 48 | Revalues: 9734 | GridSize: 90
Generation 49 | Revalues: 9938 | GridSize: 95
Generation 50 | Revalues: 10130 | GridSize: 94
Generation 51 | Revalues: 10346 | GridSize: 99
Generation 52 | Revalues: 10544 | GridSize: 102
Generation 53 | Revalues: 10738 | GridSize: 102
Generation 54 | Revalues: 10930 | GridSize: 97
Generation 55 | Revalues: 11134 | GridSize: 94
Generation 56 | Revalues: 11314 | GridSize: 93
Generation 57 | Revalues: 11496 | GridSize: 97
Generation 58 | Revalues: 11694 | GridSize: 100
Generation 59 | Revalues: 11880 | GridSize: 96
Generation 60 | Revalues: 12072 | GridSize: 93
Generation 61 | Revalues: 12270 | GridSize: 97
Generation 62 | Revalues: 12488 | GridSize: 97
Generation 63 | Revalues: 12684 | GridSize: 96
Generation 64 | Revalues: 12886 | GridSize: 95
Generation 65 | Revalues: 13102 | GridSize: 98
Generation 66 | Revalues: 13288 | GridSize: 102
Generation 67 | Revalues: 13482 | GridSize: 106
Generation 68 | Revalues: 13676 | GridSize: 104
Generation 69 | Revalues: 13884 | GridSize: 105
Generation 70 | Revalues: 14076 | GridSize: 106
Generation 71 | Revalues: 14290 | GridSize: 107
Generation 72 | Revalues: 14508 | GridSize: 110
Generation 73 | Revalues: 14700 | GridSize: 111
Generation 74 | Revalues: 14912 | GridSize: 113
Generation 75 | Revalues: 15116 | GridSize: 111
Generation 76 | Revalues: 15336 | GridSize: 103
Generation 77 | Revalues: 15528 | GridSize: 88
Generation 78 | Revalues: 15738 | GridSize: 93
Generation 79 | Revalues: 15952 | GridSize: 91
Generation 80 | Revalues: 16156 | GridSize: 91
Generation 81 | Revalues: 16354 | GridSize: 88
Generation 82 | Revalues: 16560 | GridSize: 89
Generation 83 | Revalues: 16746 | GridSize: 88
Generation 84 | Revalues: 16960 | GridSize: 93
Generation 85 | Revalues: 17142 | GridSize: 96
Generation 86 | Revalues: 17352 | GridSize: 96
Generation 87 | Revalues: 17566 | GridSize: 95
Generation 88 | Revalues: 17788 | GridSize: 90
Generation 89 | Revalues: 17994 | GridSize: 87
Generation 90 | Revalues: 18176 | GridSize: 84
Generation 91 | Revalues: 18392 | GridSize: 86
Generation 92 | Revalues: 18604 | GridSize: 89
Generation 93 | Revalues: 18800 | GridSize: 76
Generation 94 | Revalues: 19008 | GridSize: 80
Generation 95 | Revalues: 19214 | GridSize: 85
Generation 96 | Revalues: 19408 | GridSize: 83
Generation 97 | Revalues: 19596 | GridSize: 81
Generation 98 | Revalues: 19790 | GridSize: 83
Generation 99 | Revalues: 19994 | GridSize: 81
Generation 100 | Revalues: 20204 | GridSize: 83
Generation 101 | Revalues: 20390 | GridSize: 80
Generation 102 | Revalues: 20594 | GridSize: 75
Generation 103 | Revalues: 20812 | GridSize: 87
Generation 104 | Revalues: 20996 | GridSize: 83
Generation 105 | Revalues: 21186 | GridSize: 83
Generation 106 | Revalues: 21378 | GridSize: 91
Generation 107 | Revalues: 21578 | GridSize: 81
Generation 108 | Revalues: 21786 | GridSize: 78
Generation 109 | Revalues: 22012 | GridSize: 74
Generation 110 | Revalues: 22200 | GridSize: 75 | LOCAL SEARCH EXECUTED
Generation 111 | Revalues: 544290 | GridSize: 299 | LOCAL SEARCH EXECUTED
Generation 112 | Revalues: 696622 | GridSize: 300 | LOCAL SEARCH EXECUTED
Generation 113 | Revalues: 815153 | GridSize: 300 | LOCAL SEARCH EXECUTED
Generation 114 | Revalues: 943787 | GridSize: 300 | LOCAL SEARCH EXECUTED
