Generation 0 | Revalues: 100 | GridSize: 6
Generation 1 | Revalues: 320 | GridSize: 12
Generation 2 | Revalues: 534 | GridSize: 15
Generation 3 | Revalues: 724 | GridSize: 19
Generation 4 | Revalues: 906 | GridSize: 22
Generation 5 | Revalues: 1110 | GridSize: 20
Generation 6 | Revalues: 1312 | GridSize: 22
Generation 7 | Revalues: 1526 | GridSize: 21
Generation 8 | Revalues: 1734 | GridSize: 21
Generation 9 | Revalues: 1936 | GridSize: 22
Generation 10 | Revalues: 2126 | GridSize: 24
Generation 11 | Revalues: 2328 | GridSize: 24
Generation 12 | Revalues: 2520 | GridSize: 28
Generation 13 | Revalues: 2726 | GridSize: 32
Generation 14 | Revalues: 2948 | GridSize: 35
Generation 15 | Revalues: 3140 | GridSize: 33
Generation 16 | Revalues: 3326 | GridSize: 35
Generation 17 | Revalues: 3534 | GridSize: 37
Generation 18 | Revalues: 3752 | GridSize: 38
Generation 19 | Revalues: 3946 | GridSize: 40
Generation 20 | Revalues: 4154 | GridSize: 40
Generation 21 | Revalues: 4322 | GridSize: 38
Generation 22 | Revalues: 4508 | GridSize: 39
Generation 23 | Revalues: 4698 | GridSize: 40
Generation 24 | Revalues: 4902 | GridSize: 45
Generation 25 | Revalues: 5106 | GridSize: 45
Generation 26 | Revalues: 5284 | GridSize: 49
Generation 27 | Revalues: 5498 | GridSize: 50
Generation 28 | Revalues: 5698 | GridSize: 46
Generation 29 | Revalues: 5926 | GridSize: 47
Generation 30 | Revalues: 6142 | GridSize: 46
Generation 31 | Revalues: 6342 | GridSize: 42
Generation 32 | Revalues: 6524 | GridSize: 41
Generation 33 | Revalues: 6742 | GridSize: 41
Generation 34 | Revalues: 6944 | GridSize: 44
Generation 35 | Revalues: 7122 | GridSize: 46
Generation 36 | Revalues: 7342 | GridSize: 50
Generation 37 | Revalues: 7536 | GridSize: 48
Generation 38 | Revalues: 7740 | GridSize: 49
Generation 39 | Revalues: 7942 | GridSize: 46
Generation 40 | Revalues: 8156 | GridSize: 47
Generation 41 | Revalues: 8344 | GridSize: 45
Generation 42 | Revalues: 8558 | GridSize: 46
Generation 43 | Revalues: 8792 | GridSize: 48
Generation 44 | Revalues: 8998 | GridSize: 51
Generation 45 | Revalues: 9206 | GridSize: 53
