Generation 0 | Revalues: 100 | GridSize: 9
Generation 1 | Revalues: 304 | GridSize: 15
Generation 2 | Revalues: 522 | GridSize: 18
Generation 3 | Revalues: 712 | GridSize: 18
Generation 4 | Revalues: 904 | GridSize: 19
Generation 5 | Revalues: 1116 | GridSize: 29
Generation 6 | Revalues: 1294 | GridSize: 32
Generation 7 | Revalues: 1508 | GridSize: 40
Generation 8 | Revalues: 1734 | GridSize: 40
Generation 9 | Revalues: 1954 | GridSize: 41
Generation 10 | Revalues: 2148 | GridSize: 46
Generation 11 | Revalues: 2350 | GridSize: 44
Generation 12 | Revalues: 2548 | GridSize: 44
Generation 13 | Revalues: 2748 | GridSize: 47
Generation 14 | Revalues: 2966 | GridSize: 48
Generation 15 | Revalues: 3166 | GridSize: 50
Generation 16 | Revalues: 3358 | GridSize: 45
Generation 17 | Revalues: 3542 | GridSize: 47
Generation 18 | Revalues: 3768 | GridSize: 52
Generation 19 | Revalues: 3968 | GridSize: 51
Generation 20 | Revalues: 4158 | GridSize: 53
Generation 21 | Revalues: 4370 | GridSize: 55
Generation 22 | Revalues: 4588 | GridSize: 58
Generation 23 | Revalues: 4768 | GridSize: 54
Generation 24 | Revalues: 4976 | GridSize: 48
Generation 25 | Revalues: 5194 | GridSize: 46
Generation 26 | Revalues: 5402 | GridSize: 49
Generation 27 | Revalues: 5612 | GridSize: 46
Generation 28 | Revalues: 5812 | GridSize: 45
Generation 29 | Revalues: 5990 | GridSize: 47
Generation 30 | Revalues: 6206 | GridSize: 47
Generation 31 | Revalues: 6398 | GridSize: 50
Generation 32 | Revalues: 6600 | GridSize: 49
Generation 33 | Revalues: 6824 | GridSize: 48
Generation 34 | Revalues: 7030 | GridSize: 42
Generation 35 | Revalues: 7252 | GridSize: 47
Generation 36 | Revalues: 7438 | GridSize: 44
Generation 37 | Revalues: 7618 | GridSize: 45
Generation 38 | Revalues: 7824 | GridSize: 44
Generation 39 | Revalues: 7998 | GridSize: 40
Generation 40 | Revalues: 8166 | GridSize: 43
Generation 41 | Revalues: 8372 | GridSize: 46
Generation 42 | Revalues: 8604 | GridSize: 47
Generation 43 | Revalues: 8824 | GridSize: 46
Generation 44 | Revalues: 9020 | GridSize: 46
Generation 45 | Revalues: 9206 | GridSize: 45
Generation 46 | Revalues: 9408 | GridSize: 45
Generation 47 | Revalues: 9610 | GridSize: 48
Generation 48 | Revalues: 9804 | GridSize: 52
Generation 49 | Revalues: 9990 | GridSize: 54
Generation 50 | Revalues: 10192 | GridSize: 53
Generation 51 | Revalues: 10384 | GridSize: 56
Generation 52 | Revalues: 10606 | GridSize: 59
Generation 53 | Revalues: 10800 | GridSize: 58
Generation 54 | Revalues: 10990 | GridSize: 60
Generation 55 | Revalues: 11186 | GridSize: 59
Generation 56 | Revalues: 11396 | GridSize: 61
Generation 57 | Revalues: 11598 | GridSize: 60
Generation 58 | Revalues: 11802 | GridSize: 50
Generation 59 | Revalues: 12006 | GridSize: 52
Generation 60 | Revalues: 12216 | GridSize: 52
Generation 61 | Revalues: 12408 | GridSize: 52
Generation 62 | Revalues: 12610 | GridSize: 52
Generation 63 | Revalues: 12790 | GridSize: 53
Generation 64 | Revalues: 12976 | GridSize: 54
Generation 65 | Revalues: 13182 | GridSize: 54
Generation 66 | Revalues: 13364 | GridSize: 55
Generation 67 | Revalues: 13554 | GridSize: 59
Generation 68 | Revalues: 13756 | GridSize: 56
Generation 69 | Revalues: 13964 | GridSize: 58
Generation 70 | Revalues: 14164 | GridSize: 59
Generation 71 | Revalues: 14338 | GridSize: 56
Generation 72 | Revalues: 14528 | GridSize: 57
Generation 73 | Revalues: 14732 | GridSize: 54
Generation 74 | Revalues: 14946 | GridSize: 54
Generation 75 | Revalues: 15172 | GridSize: 57
