Generation 0 | Revalues: 100 | GridSize: 4
Generation 1 | Revalues: 284 | GridSize: 8
Generation 2 | Revalues: 494 | GridSize: 16
Generation 3 | Revalues: 698 | GridSize: 16
Generation 4 | Revalues: 908 | GridSize: 10
Generation 5 | Revalues: 1106 | GridSize: 15
Generation 6 | Revalues: 1308 | GridSize: 18
Generation 7 | Revalues: 1522 | GridSize: 19
Generation 8 | Revalues: 1722 | GridSize: 27
Generation 9 | Revalues: 1946 | GridSize: 30
Generation 10 | Revalues: 2132 | GridSize: 36
Generation 11 | Revalues: 2354 | GridSize: 31
Generation 12 | Revalues: 2566 | GridSize: 35
Generation 13 | Revalues: 2780 | GridSize: 21
Generation 14 | Revalues: 2976 | GridSize: 30
Generation 15 | Revalues: 3180 | GridSize: 32
Generation 16 | Revalues: 3414 | GridSize: 36
Generation 17 | Revalues: 3624 | GridSize: 41
Generation 18 | Revalues: 3828 | GridSize: 33
Generation 19 | Revalues: 4024 | GridSize: 37
Generation 20 | Revalues: 4242 | GridSize: 33
Generation 21 | Revalues: 4440 | GridSize: 27
Generation 22 | Revalues: 4664 | GridSize: 29
Generation 23 | Revalues: 4864 | GridSize: 40
Generation 24 | Revalues: 5076 | GridSize: 35
Generation 25 | Revalues: 5270 | GridSize: 49
Generation 26 | Revalues: 5496 | GridSize: 43
Generation 27 | Revalues: 5694 | GridSize: 33
Generation 28 | Revalues: 5888 | GridSize: 25
Generation 29 | Revalues: 6080 | GridSize: 35
Generation 30 | Revalues: 6262 | GridSize: 31
Generation 31 | Revalues: 6448 | GridSize: 31
Generation 32 | Revalues: 6652 | GridSize: 35
Generation 33 | Revalues: 6856 | GridSize: 35
Generation 34 | Revalues: 7054 | GridSize: 38
Generation 35 | Revalues: 7248 | GridSize: 31
Generation 36 | Revalues: 7452 | GridSize: 34
Generation 37 | Revalues: 7670 | GridSize: 45
Generation 38 | Revalues: 7858 | GridSize: 45
Generation 39 | Revalues: 8044 | GridSize: 38
Generation 40 | Revalues: 8238 | GridSize: 45
Generation 41 | Revalues: 8448 | GridSize: 46
Generation 42 | Revalues: 8642 | GridSize: 52
Generation 43 | Revalues: 8832 | GridSize: 55
Generation 44 | Revalues: 9028 | GridSize: 53
Generation 45 | Revalues: 9224 | GridSize: 57
Generation 46 | Revalues: 9458 | GridSize: 59
Generation 47 | Revalues: 9652 | GridSize: 62
Generation 48 | Revalues: 9830 | GridSize: 57
Generation 49 | Revalues: 10032 | GridSize: 56
Generation 50 | Revalues: 10220 | GridSize: 56
Generation 51 | Revalues: 10422 | GridSize: 58
Generation 52 | Revalues: 10638 | GridSize: 55
Generation 53 | Revalues: 10846 | GridSize: 59
Generation 54 | Revalues: 11060 | GridSize: 59
Generation 55 | Revalues: 11250 | GridSize: 63
Generation 56 | Revalues: 11458 | GridSize: 68
Generation 57 | Revalues: 11672 | GridSize: 68
Generation 58 | Revalues: 11884 | GridSize: 70
Generation 59 | Revalues: 12090 | GridSize: 77
Generation 60 | Revalues: 12270 | GridSize: 78
Generation 61 | Revalues: 12448 | GridSize: 78
Generation 62 | Revalues: 12658 | GridSize: 71
Generation 63 | Revalues: 12858 | GridSize: 76
Generation 64 | Revalues: 13052 | GridSize: 75
Generation 65 | Revalues: 13266 | GridSize: 70
Generation 66 | Revalues: 13474 | GridSize: 68
Generation 67 | Revalues: 13664 | GridSize: 64
Generation 68 | Revalues: 13864 | GridSize: 64
Generation 69 | Revalues: 14040 | GridSize: 63
Generation 70 | Revalues: 14274 | GridSize: 68
Generation 71 | Revalues: 14460 | GridSize: 66
Generation 72 | Revalues: 14654 | GridSize: 67
Generation 73 | Revalues: 14874 | GridSize: 67
Generation 74 | Revalues: 15054 | GridSize: 70
Generation 75 | Revalues: 15270 | GridSize: 74
Generation 76 | Revalues: 15488 | GridSize: 81
Generation 77 | Revalues: 15684 | GridSize: 85
Generation 78 | Revalues: 15870 | GridSize: 65
Generation 79 | Revalues: 16066 | GridSize: 67
Generation 80 | Revalues: 16268 | GridSize: 76
Generation 81 | Revalues: 16478 | GridSize: 78
Generation 82 | Revalues: 16668 | GridSize: 79
Generation 83 | Revalues: 16906 | GridSize: 79
Generation 84 | Revalues: 17112 | GridSize: 79
Generation 85 | Revalues: 17302 | GridSize: 79
Generation 86 | Revalues: 17514 | GridSize: 79
Generation 87 | Revalues: 17748 | GridSize: 81
Generation 88 | Revalues: 17952 | GridSize: 80
Generation 89 | Revalues: 18154 | GridSize: 82
Generation 90 | Revalues: 18362 | GridSize: 80
Generation 91 | Revalues: 18558 | GridSize: 80
Generation 92 | Revalues: 18770 | GridSize: 81
Generation 93 | Revalues: 18950 | GridSize: 80
Generation 94 | Revalues: 19168 | GridSize: 78
Generation 95 | Revalues: 19366 | GridSize: 73
Generation 96 | Revalues: 19546 | GridSize: 79
Generation 97 | Revalues: 19740 | GridSize: 79
Generation 98 | Revalues: 19960 | GridSize: 84
Generation 99 | Revalues: 20154 | GridSize: 84
Generation 100 | Revalues: 20368 | GridSize: 79
Generation 101 | Revalues: 20556 | GridSize: 81
Generation 102 | Revalues: 20734 | GridSize: 84
Generation 103 | Revalues: 20922 | GridSize: 78
Generation 104 | Revalues: 21130 | GridSize: 78
Generation 105 | Revalues: 21340 | GridSize: 77
Generation 106 | Revalues: 21534 | GridSize: 77
Generation 107 | Revalues: 21722 | GridSize: 78
Generation 108 | Revalues: 21910 | GridSize: 75
Generation 109 | Revalues: 22114 | GridSize: 76
Generation 110 | Revalues: 22314 | GridSize: 73
Generation 111 | Revalues: 22510 | GridSize: 74
Generation 112 | Revalues: 22726 | GridSize: 74
Generation 113 | Revalues: 22906 | GridSize: 73
Generation 114 | Revalues: 23114 | GridSize: 73
Generation 115 | Revalues: 23318 | GridSize: 73
Generation 116 | Revalues: 23506 | GridSize: 73
Generation 117 | Revalues: 23712 | GridSize: 73
Generation 118 | Revalues: 23894 | GridSize: 74
Generation 119 | Revalues: 24078 | GridSize: 77
Generation 120 | Revalues: 24284 | GridSize: 78
Generation 121 | Revalues: 24462 | GridSize: 74
Generation 122 | Revalues: 24670 | GridSize: 74
Generation 123 | Revalues: 24892 | GridSize: 78
Generation 124 | Revalues: 25110 | GridSize: 78
Generation 125 | Revalues: 25306 | GridSize: 72
Generation 126 | Revalues: 25530 | GridSize: 73
Generation 127 | Revalues: 25706 | GridSize: 69
Generation 128 | Revalues: 25908 | GridSize: 68
Generation 129 | Revalues: 26074 | GridSize: 69
Generation 130 | Revalues: 26280 | GridSize: 68
Generation 131 | Revalues: 26518 | GridSize: 69
Generation 132 | Revalues: 26704 | GridSize: 69
Generation 133 | Revalues: 26916 | GridSize: 67
Generation 134 | Revalues: 27118 | GridSize: 68
Generation 135 | Revalues: 27352 | GridSize: 69
Generation 136 | Revalues: 27544 | GridSize: 70
Generation 137 | Revalues: 27728 | GridSize: 69
Generation 138 | Revalues: 27940 | GridSize: 69
Generation 139 | Revalues: 28162 | GridSize: 68
Generation 140 | Revalues: 28332 | GridSize: 66
Generation 141 | Revalues: 28530 | GridSize: 66
Generation 142 | Revalues: 28738 | GridSize: 67
Generation 143 | Revalues: 28950 | GridSize: 65
Generation 144 | Revalues: 29122 | GridSize: 65
Generation 145 | Revalues: 29314 | GridSize: 65
Generation 146 | Revalues: 29508 | GridSize: 66
Generation 147 | Revalues: 29724 | GridSize: 66
Generation 148 | Revalues: 29922 | GridSize: 67
Generation 149 | Revalues: 30130 | GridSize: 65
Generation 150 | Revalues: 30334 | GridSize: 69
Generation 151 | Revalues: 30520 | GridSize: 70
Generation 152 | Revalues: 30726 | GridSize: 70
Generation 153 | Revalues: 30936 | GridSize: 71
Generation 154 | Revalues: 31146 | GridSize: 72
Generation 155 | Revalues: 31368 | GridSize: 72
Generation 156 | Revalues: 31570 | GridSize: 77
Generation 157 | Revalues: 31750 | GridSize: 75
Generation 158 | Revalues: 31954 | GridSize: 74
Generation 159 | Revalues: 32162 | GridSize: 75
