Generation 0 | Revalues: 100 | GridSize: 3
Generation 1 | Revalues: 310 | GridSize: 15
Generation 2 | Revalues: 498 | GridSize: 24
Generation 3 | Revalues: 688 | GridSize: 14
Generation 4 | Revalues: 900 | GridSize: 16
Generation 5 | Revalues: 1108 | GridSize: 19
Generation 6 | Revalues: 1302 | GridSize: 20
Generation 7 | Revalues: 1486 | GridSize: 23
Generation 8 | Revalues: 1686 | GridSize: 21
Generation 9 | Revalues: 1866 | GridSize: 21
Generation 10 | Revalues: 2056 | GridSize: 24
Generation 11 | Revalues: 2272 | GridSize: 26
Generation 12 | Revalues: 2452 | GridSize: 26
Generation 13 | Revalues: 2656 | GridSize: 27
Generation 14 | Revalues: 2858 | GridSize: 31
Generation 15 | Revalues: 3054 | GridSize: 39
Generation 16 | Revalues: 3244 | GridSize: 39
Generation 17 | Revalues: 3432 | GridSize: 40
Generation 18 | Revalues: 3616 | GridSize: 49
Generation 19 | Revalues: 3842 | GridSize: 46
Generation 20 | Revalues: 4056 | GridSize: 39
Generation 21 | Revalues: 4252 | GridSize: 44
Generation 22 | Revalues: 4444 | GridSize: 43
Generation 23 | Revalues: 4654 | GridSize: 43
Generation 24 | Revalues: 4856 | GridSize: 44
Generation 25 | Revalues: 5064 | GridSize: 52
Generation 26 | Revalues: 5290 | GridSize: 42
Generation 27 | Revalues: 5482 | GridSize: 43
Generation 28 | Revalues: 5680 | GridSize: 39
Generation 29 | Revalues: 5878 | GridSize: 42
Generation 30 | Revalues: 6088 | GridSize: 39
Generation 31 | Revalues: 6318 | GridSize: 39
Generation 32 | Revalues: 6538 | GridSize: 45
Generation 33 | Revalues: 6746 | GridSize: 47
Generation 34 | Revalues: 6954 | GridSize: 51
Generation 35 | Revalues: 7158 | GridSize: 46
Generation 36 | Revalues: 7350 | GridSize: 52
Generation 37 | Revalues: 7536 | GridSize: 50
Generation 38 | Revalues: 7752 | GridSize: 59
Generation 39 | Revalues: 7962 | GridSize: 62
Generation 40 | Revalues: 8154 | GridSize: 62
Generation 41 | Revalues: 8378 | GridSize: 65
Generation 42 | Revalues: 8570 | GridSize: 55
Generation 43 | Revalues: 8786 | GridSize: 63
Generation 44 | Revalues: 8972 | GridSize: 67
Generation 45 | Revalues: 9182 | GridSize: 72
Generation 46 | Revalues: 9380 | GridSize: 76
Generation 47 | Revalues: 9560 | GridSize: 72
Generation 48 | Revalues: 9760 | GridSize: 69
Generation 49 | Revalues: 9984 | GridSize: 74
Generation 50 | Revalues: 10188 | GridSize: 74
Generation 51 | Revalues: 10404 | GridSize: 70
Generation 52 | Revalues: 10610 | GridSize: 75
Generation 53 | Revalues: 10830 | GridSize: 76
Generation 54 | Revalues: 11032 | GridSize: 72
Generation 55 | Revalues: 11248 | GridSize: 70
Generation 56 | Revalues: 11460 | GridSize: 74
Generation 57 | Revalues: 11674 | GridSize: 67
Generation 58 | Revalues: 11878 | GridSize: 66
Generation 59 | Revalues: 12094 | GridSize: 69
Generation 60 | Revalues: 12300 | GridSize: 64
Generation 61 | Revalues: 12504 | GridSize: 59
Generation 62 | Revalues: 12712 | GridSize: 62
Generation 63 | Revalues: 12916 | GridSize: 75
Generation 64 | Revalues: 13122 | GridSize: 51
Generation 65 | Revalues: 13314 | GridSize: 59
Generation 66 | Revalues: 13518 | GridSize: 54
Generation 67 | Revalues: 13702 | GridSize: 56
Generation 68 | Revalues: 13916 | GridSize: 60
Generation 69 | Revalues: 14106 | GridSize: 72
Generation 70 | Revalues: 14304 | GridSize: 57
Generation 71 | Revalues: 14516 | GridSize: 70
Generation 72 | Revalues: 14714 | GridSize: 73
Generation 73 | Revalues: 14912 | GridSize: 74
Generation 74 | Revalues: 15076 | GridSize: 73
Generation 75 | Revalues: 15268 | GridSize: 66
Generation 76 | Revalues: 15456 | GridSize: 63
Generation 77 | Revalues: 15638 | GridSize: 74
Generation 78 | Revalues: 15864 | GridSize: 77
Generation 79 | Revalues: 16078 | GridSize: 78
Generation 80 | Revalues: 16282 | GridSize: 64
Generation 81 | Revalues: 16492 | GridSize: 69
Generation 82 | Revalues: 16702 | GridSize: 63
Generation 83 | Revalues: 16894 | GridSize: 70
Generation 84 | Revalues: 17068 | GridSize: 71
Generation 85 | Revalues: 17264 | GridSize: 68
Generation 86 | Revalues: 17440 | GridSize: 70
Generation 87 | Revalues: 17638 | GridSize: 63
Generation 88 | Revalues: 17832 | GridSize: 71
Generation 89 | Revalues: 18044 | GridSize: 76
Generation 90 | Revalues: 18254 | GridSize: 84
Generation 91 | Revalues: 18438 | GridSize: 80
Generation 92 | Revalues: 18640 | GridSize: 84
Generation 93 | Revalues: 18840 | GridSize: 86
Generation 94 | Revalues: 19024 | GridSize: 89
Generation 95 | Revalues: 19214 | GridSize: 85
Generation 96 | Revalues: 19420 | GridSize: 78
Generation 97 | Revalues: 19612 | GridSize: 81
Generation 98 | Revalues: 19796 | GridSize: 85
Generation 99 | Revalues: 20006 | GridSize: 90
Generation 100 | Revalues: 20220 | GridSize: 83
Generation 101 | Revalues: 20412 | GridSize: 84
Generation 102 | Revalues: 20638 | GridSize: 92
Generation 103 | Revalues: 20828 | GridSize: 89
Generation 104 | Revalues: 21032 | GridSize: 94
Generation 105 | Revalues: 21234 | GridSize: 105
Generation 106 | Revalues: 21432 | GridSize: 110
Generation 107 | Revalues: 21648 | GridSize: 113
Generation 108 | Revalues: 21844 | GridSize: 113
Generation 109 | Revalues: 22062 | GridSize: 116
Generation 110 | Revalues: 22244 | GridSize: 118
Generation 111 | Revalues: 22452 | GridSize: 123
Generation 112 | Revalues: 22662 | GridSize: 124
Generation 113 | Revalues: 22870 | GridSize: 130
Generation 114 | Revalues: 23086 | GridSize: 127
Generation 115 | Revalues: 23286 | GridSize: 123
Generation 116 | Revalues: 23456 | GridSize: 128
Generation 117 | Revalues: 23672 | GridSize: 133
Generation 118 | Revalues: 23888 | GridSize: 133
Generation 119 | Revalues: 24080 | GridSize: 134
Generation 120 | Revalues: 24280 | GridSize: 137
Generation 121 | Revalues: 24470 | GridSize: 139
Generation 122 | Revalues: 24656 | GridSize: 128
Generation 123 | Revalues: 24836 | GridSize: 130
Generation 124 | Revalues: 25012 | GridSize: 130
Generation 125 | Revalues: 25216 | GridSize: 135
Generation 126 | Revalues: 25410 | GridSize: 132
Generation 127 | Revalues: 25642 | GridSize: 133
Generation 128 | Revalues: 25864 | GridSize: 134
Generation 129 | Revalues: 26090 | GridSize: 137
Generation 130 | Revalues: 26292 | GridSize: 129
Generation 131 | Revalues: 26496 | GridSize: 132
Generation 132 | Revalues: 26686 | GridSize: 137
Generation 133 | Revalues: 26902 | GridSize: 135
Generation 134 | Revalues: 27100 | GridSize: 131
Generation 135 | Revalues: 27274 | GridSize: 133
Generation 136 | Revalues: 27468 | GridSize: 136
Generation 137 | Revalues: 27646 | GridSize: 139
Generation 138 | Revalues: 27856 | GridSize: 134
Generation 139 | Revalues: 28068 | GridSize: 134
Generation 140 | Revalues: 28296 | GridSize: 132
Generation 141 | Revalues: 28500 | GridSize: 128
Generation 142 | Revalues: 28738 | GridSize: 126
Generation 143 | Revalues: 28968 | GridSize: 127
Generation 144 | Revalues: 29158 | GridSize: 135
Generation 145 | Revalues: 29340 | GridSize: 143
Generation 146 | Revalues: 29526 | GridSize: 145
Generation 147 | Revalues: 29726 | GridSize: 149
Generation 148 | Revalues: 29904 | GridSize: 148
Generation 149 | Revalues: 30098 | GridSize: 155
Generation 150 | Revalues: 30304 | GridSize: 153
Generation 151 | Revalues: 30494 | GridSize: 154
Generation 152 | Revalues: 30712 | GridSize: 154
Generation 153 | Revalues: 30906 | GridSize: 156
Generation 154 | Revalues: 31098 | GridSize: 156
Generation 155 | Revalues: 31288 | GridSize: 162
Generation 156 | Revalues: 31516 | GridSize: 163
Generation 157 | Revalues: 31708 | GridSize: 164
Generation 158 | Revalues: 31874 | GridSize: 172
Generation 159 | Revalues: 32058 | GridSize: 170
Generation 160 | Revalues: 32282 | GridSize: 171
Generation 161 | Revalues: 32476 | GridSize: 168
Generation 162 | Revalues: 32664 | GridSize: 159
Generation 163 | Revalues: 32872 | GridSize: 157
Generation 164 | Revalues: 33070 | GridSize: 162
Generation 165 | Revalues: 33288 | GridSize: 165
Generation 166 | Revalues: 33492 | GridSize: 169
Generation 167 | Revalues: 33694 | GridSize: 158
Generation 168 | Revalues: 33902 | GridSize: 164
Generation 169 | Revalues: 34116 | GridSize: 158
Generation 170 | Revalues: 34324 | GridSize: 167
Generation 171 | Revalues: 34546 | GridSize: 158
Generation 172 | Revalues: 34736 | GridSize: 163
Generation 173 | Revalues: 34924 | GridSize: 164
Generation 174 | Revalues: 35136 | GridSize: 162
Generation 175 | Revalues: 35330 | GridSize: 164
Generation 176 | Revalues: 35550 | GridSize: 169
Generation 177 | Revalues: 35750 | GridSize: 173
Generation 178 | Revalues: 35966 | GridSize: 169
Generation 179 | Revalues: 36160 | GridSize: 171
Generation 180 | Revalues: 36370 | GridSize: 171
Generation 181 | Revalues: 36562 | GridSize: 177
Generation 182 | Revalues: 36750 | GridSize: 175
Generation 183 | Revalues: 36946 | GridSize: 174
Generation 184 | Revalues: 37162 | GridSize: 169
Generation 185 | Revalues: 37378 | GridSize: 170
Generation 186 | Revalues: 37576 | GridSize: 174
Generation 187 | Revalues: 37788 | GridSize: 173
Generation 188 | Revalues: 37978 | GridSize: 177
Generation 189 | Revalues: 38176 | GridSize: 180
Generation 190 | Revalues: 38372 | GridSize: 176
Generation 191 | Revalues: 38562 | GridSize: 171
Generation 192 | Revalues: 38748 | GridSize: 170
Generation 193 | Revalues: 38954 | GridSize: 169
Generation 194 | Revalues: 39146 | GridSize: 174
Generation 195 | Revalues: 39338 | GridSize: 173
Generation 196 | Revalues: 39538 | GridSize: 176
Generation 197 | Revalues: 39748 | GridSize: 179
Generation 198 | Revalues: 39950 | GridSize: 169
Generation 199 | Revalues: 40176 | GridSize: 165
Generation 200 | Revalues: 40368 | GridSize: 171
Generation 201 | Revalues: 40580 | GridSize: 174
Generation 202 | Revalues: 40768 | GridSize: 179
Generation 203 | Revalues: 40974 | GridSize: 176
Generation 204 | Revalues: 41166 | GridSize: 179
