Generation 0 | Revalues: 100 | GridSize: 8
Generation 1 | Revalues: 298 | GridSize: 14
Generation 2 | Revalues: 500 | GridSize: 19
Generation 3 | Revalues: 696 | GridSize: 18
Generation 4 | Revalues: 916 | GridSize: 26
Generation 5 | Revalues: 1102 | GridSize: 33
Generation 6 | Revalues: 1288 | GridSize: 37
Generation 7 | Revalues: 1486 | GridSize: 37
Generation 8 | Revalues: 1680 | GridSize: 41
Generation 9 | Revalues: 1888 | GridSize: 36
Generation 10 | Revalues: 2084 | GridSize: 40
Generation 11 | Revalues: 2294 | GridSize: 49
Generation 12 | Revalues: 2518 | GridSize: 50
Generation 13 | Revalues: 2734 | GridSize: 50
Generation 14 | Revalues: 2928 | GridSize: 54
Generation 15 | Revalues: 3132 | GridSize: 58
Generation 16 | Revalues: 3334 | GridSize: 59
Generation 17 | Revalues: 3524 | GridSize: 63
Generation 18 | Revalues: 3720 | GridSize: 68
Generation 19 | Revalues: 3934 | GridSize: 70
Generation 20 | Revalues: 4150 | GridSize: 74
Generation 21 | Revalues: 4368 | GridSize: 72
Generation 22 | Revalues: 4568 | GridSize: 71
Generation 23 | Revalues: 4762 | GridSize: 69
Generation 24 | Revalues: 4984 | GridSize: 73
Generation 25 | Revalues: 5154 | GridSize: 73
Generation 26 | Revalues: 5352 | GridSize: 76
Generation 27 | Revalues: 5536 | GridSize: 78
Generation 28 | Revalues: 5752 | GridSize: 80
Generation 29 | Revalues: 5970 | GridSize: 80
Generation 30 | Revalues: 6164 | GridSize: 81
Generation 31 | Revalues: 6368 | GridSize: 83
Generation 32 | Revalues: 6566 | GridSize: 81
Generation 33 | Revalues: 6774 | GridSize: 83
Generation 34 | Revalues: 7008 | GridSize: 81
Generation 35 | Revalues: 7200 | GridSize: 83
Generation 36 | Revalues: 7416 | GridSize: 86
Generation 37 | Revalues: 7628 | GridSize: 84
Generation 38 | Revalues: 7814 | GridSize: 87
Generation 39 | Revalues: 8016 | GridSize: 91
Generation 40 | Revalues: 8228 | GridSize: 93
Generation 41 | Revalues: 8416 | GridSize: 90
Generation 42 | Revalues: 8618 | GridSize: 89
Generation 43 | Revalues: 8818 | GridSize: 92
Generation 44 | Revalues: 9018 | GridSize: 94
Generation 45 | Revalues: 9232 | GridSize: 96
Generation 46 | Revalues: 9436 | GridSize: 98
Generation 47 | Revalues: 9626 | GridSize: 98
Generation 48 | Revalues: 9820 | GridSize: 95
