Generation 0 | Revalues: 100 | GridSize: 3
Generation 1 | Revalues: 292 | GridSize: 10
Generation 2 | Revalues: 468 | GridSize: 21
Generation 3 | Revalues: 658 | GridSize: 21
Generation 4 | Revalues: 868 | GridSize: 27
Generation 5 | Revalues: 1076 | GridSize: 39
Generation 6 | Revalues: 1280 | GridSize: 46
Generation 7 | Revalues: 1476 | GridSize: 51
Generation 8 | Revalues: 1684 | GridSize: 52
Generation 9 | Revalues: 1878 | GridSize: 56
Generation 10 | Revalues: 2100 | GridSize: 56
Generation 11 | Revalues: 2306 | GridSize: 61
Generation 12 | Revalues: 2490 | GridSize: 70
Generation 13 | Revalues: 2680 | GridSize: 69
Generation 14 | Revalues: 2916 | GridSize: 71
Generation 15 | Revalues: 3140 | GridSize: 75
Generation 16 | Revalues: 3358 | GridSize: 84
Generation 17 | Revalues: 3570 | GridSize: 91
Generation 18 | Revalues: 3756 | GridSize: 92
Generation 19 | Revalues: 3956 | GridSize: 82
Generation 20 | Revalues: 4166 | GridSize: 91
Generation 21 | Revalues: 4356 | GridSize: 97
Generation 22 | Revalues: 4566 | GridSize: 96
Generation 23 | Revalues: 4774 | GridSize: 97
Generation 24 | Revalues: 4964 | GridSize: 94
Generation 25 | Revalues: 5140 | GridSize: 96
Generation 26 | Revalues: 5366 | GridSize: 96
Generation 27 | Revalues: 5546 | GridSize: 99
Generation 28 | Revalues: 5738 | GridSize: 94
Generation 29 | Revalues: 5916 | GridSize: 98
Generation 30 | Revalues: 6106 | GridSize: 102
Generation 31 | Revalues: 6322 | GridSize: 99
Generation 32 | Revalues: 6494 | GridSize: 101
Generation 33 | Revalues: 6692 | GridSize: 104
Generation 34 | Revalues: 6898 | GridSize: 103
Generation 35 | Revalues: 7074 | GridSize: 106
Generation 36 | Revalues: 7274 | GridSize: 104
Generation 37 | Revalues: 7502 | GridSize: 101
Generation 38 | Revalues: 7708 | GridSize: 103
Generation 39 | Revalues: 7926 | GridSize: 105
Generation 40 | Revalues: 8138 | GridSize: 100
Generation 41 | Revalues: 8368 | GridSize: 106
Generation 42 | Revalues: 8552 | GridSize: 106
Generation 43 | Revalues: 8748 | GridSize: 109
Generation 44 | Revalues: 8948 | GridSize: 110
Generation 45 | Revalues: 9152 | GridSize: 108
Generation 46 | Revalues: 9346 | GridSize: 106
Generation 47 | Revalues: 9556 | GridSize: 107
Generation 48 | Revalues: 9752 | GridSize: 106
Generation 49 | Revalues: 9962 | GridSize: 106
Generation 50 | Revalues: 10160 | GridSize: 108
Generation 51 | Revalues: 10332 | GridSize: 108
Generation 52 | Revalues: 10526 | GridSize: 111
Generation 53 | Revalues: 10706 | GridSize: 111
Generation 54 | Revalues: 10910 | GridSize: 111
Generation 55 | Revalues: 11120 | GridSize: 113
Generation 56 | Revalues: 11336 | GridSize: 116
Generation 57 | Revalues: 11500 | GridSize: 119
Generation 58 | Revalues: 11714 | GridSize: 120
Generation 59 | Revalues: 11910 | GridSize: 118
Generation 60 | Revalues: 12124 | GridSize: 121 | LOCAL SEARCH EXECUTED
