Generation 0 | Revalues: 100 | GridSize: 4
Generation 1 | Revalues: 308 | GridSize: 8
Generation 2 | Revalues: 494 | GridSize: 7
Generation 3 | Revalues: 702 | GridSize: 9
Generation 4 | Revalues: 912 | GridSize: 12
Generation 5 | Revalues: 1130 | GridSize: 16
Generation 6 | Revalues: 1358 | GridSize: 13
Generation 7 | Revalues: 1594 | GridSize: 19
Generation 8 | Revalues: 1810 | GridSize: 21
Generation 9 | Revalues: 2016 | GridSize: 11
Generation 10 | Revalues: 2214 | GridSize: 12
Generation 11 | Revalues: 2418 | GridSize: 19
Generation 12 | Revalues: 2624 | GridSize: 14
Generation 13 | Revalues: 2846 | GridSize: 19
Generation 14 | Revalues: 3052 | GridSize: 21
Generation 15 | Revalues: 3278 | GridSize: 19
Generation 16 | Revalues: 3488 | GridSize: 25
Generation 17 | Revalues: 3732 | GridSize: 18
Generation 18 | Revalues: 3956 | GridSize: 16
Generation 19 | Revalues: 4182 | GridSize: 17
Generation 20 | Revalues: 4402 | GridSize: 23
Generation 21 | Revalues: 4602 | GridSize: 26
Generation 22 | Revalues: 4854 | GridSize: 25
Generation 23 | Revalues: 5084 | GridSize: 21
Generation 24 | Revalues: 5294 | GridSize: 24
Generation 25 | Revalues: 5494 | GridSize: 26
Generation 26 | Revalues: 5736 | GridSize: 25
Generation 27 | Revalues: 5956 | GridSize: 16
Generation 28 | Revalues: 6148 | GridSize: 20
Generation 29 | Revalues: 6386 | GridSize: 15
Generation 30 | Revalues: 6612 | GridSize: 18
Generation 31 | Revalues: 6826 | GridSize: 22
Generation 32 | Revalues: 7054 | GridSize: 30
Generation 33 | Revalues: 7300 | GridSize: 28
Generation 34 | Revalues: 7518 | GridSize: 25
Generation 35 | Revalues: 7752 | GridSize: 27
Generation 36 | Revalues: 7972 | GridSize: 29
Generation 37 | Revalues: 8190 | GridSize: 34
Generation 38 | Revalues: 8422 | GridSize: 34
Generation 39 | Revalues: 8648 | GridSize: 35
Generation 40 | Revalues: 8858 | GridSize: 31
Generation 41 | Revalues: 9080 | GridSize: 35
Generation 42 | Revalues: 9302 | GridSize: 33
Generation 43 | Revalues: 9518 | GridSize: 35
Generation 44 | Revalues: 9724 | GridSize: 34
Generation 45 | Revalues: 9970 | GridSize: 34
Generation 46 | Revalues: 10202 | GridSize: 38
Generation 47 | Revalues: 10426 | GridSize: 34
Generation 48 | Revalues: 10650 | GridSize: 31
Generation 49 | Revalues: 10850 | GridSize: 39
Generation 50 | Revalues: 11090 | GridSize: 43
Generation 51 | Revalues: 11312 | GridSize: 43
Generation 52 | Revalues: 11542 | GridSize: 49
Generation 53 | Revalues: 11770 | GridSize: 45
Generation 54 | Revalues: 11996 | GridSize: 47
Generation 55 | Revalues: 12224 | GridSize: 35
Generation 56 | Revalues: 12470 | GridSize: 39
Generation 57 | Revalues: 12720 | GridSize: 37
Generation 58 | Revalues: 12928 | GridSize: 39
Generation 59 | Revalues: 13160 | GridSize: 36
Generation 60 | Revalues: 13380 | GridSize: 38
Generation 61 | Revalues: 13600 | GridSize: 41
Generation 62 | Revalues: 13846 | GridSize: 43
Generation 63 | Revalues: 14100 | GridSize: 40
Generation 64 | Revalues: 14318 | GridSize: 44
Generation 65 | Revalues: 14534 | GridSize: 50
Generation 66 | Revalues: 14758 | GridSize: 54
Generation 67 | Revalues: 14994 | GridSize: 54
Generation 68 | Revalues: 15234 | GridSize: 48
Generation 69 | Revalues: 15468 | GridSize: 45
Generation 70 | Revalues: 15670 | GridSize: 43
Generation 71 | Revalues: 15898 | GridSize: 47
Generation 72 | Revalues: 16102 | GridSize: 44
Generation 73 | Revalues: 16316 | GridSize: 50
Generation 74 | Revalues: 16512 | GridSize: 51
Generation 75 | Revalues: 16720 | GridSize: 47
Generation 76 | Revalues: 16960 | GridSize: 48
Generation 77 | Revalues: 17182 | GridSize: 46
Generation 78 | Revalues: 17402 | GridSize: 41
Generation 79 | Revalues: 17618 | GridSize: 42
Generation 80 | Revalues: 17826 | GridSize: 46
Generation 81 | Revalues: 18044 | GridSize: 47
Generation 82 | Revalues: 18274 | GridSize: 47
Generation 83 | Revalues: 18478 | GridSize: 49
Generation 84 | Revalues: 18712 | GridSize: 55
