Generation 0 | Revalues: 100 | GridSize: 7
Generation 1 | Revalues: 282 | GridSize: 11
Generation 2 | Revalues: 482 | GridSize: 13
Generation 3 | Revalues: 696 | GridSize: 15
Generation 4 | Revalues: 878 | GridSize: 18
Generation 5 | Revalues: 1054 | GridSize: 15
Generation 6 | Revalues: 1254 | GridSize: 18
Generation 7 | Revalues: 1426 | GridSize: 18
Generation 8 | Revalues: 1622 | GridSize: 16
Generation 9 | Revalues: 1800 | GridSize: 11
Generation 10 | Revalues: 2004 | GridSize: 12
Generation 11 | Revalues: 2198 | GridSize: 13
Generation 12 | Revalues: 2406 | GridSize: 11
Generation 13 | Revalues: 2596 | GridSize: 11
Generation 14 | Revalues: 2744 | GridSize: 14
Generation 15 | Revalues: 2936 | GridSize: 16
Generation 16 | Revalues: 3124 | GridSize: 13
Generation 17 | Revalues: 3328 | GridSize: 13
Generation 18 | Revalues: 3524 | GridSize: 13
Generation 19 | Revalues: 3766 | GridSize: 14
Generation 20 | Revalues: 3964 | GridSize: 20
Generation 21 | Revalues: 4164 | GridSize: 21
Generation 22 | Revalues: 4378 | GridSize: 18
Generation 23 | Revalues: 4598 | GridSize: 17
Generation 24 | Revalues: 4812 | GridSize: 20
Generation 25 | Revalues: 5034 | GridSize: 23
Generation 26 | Revalues: 5226 | GridSize: 23
Generation 27 | Revalues: 5410 | GridSize: 23
Generation 28 | Revalues: 5584 | GridSize: 25
Generation 29 | Revalues: 5774 | GridSize: 23
Generation 30 | Revalues: 5964 | GridSize: 22
Generation 31 | Revalues: 6148 | GridSize: 20
Generation 32 | Revalues: 6362 | GridSize: 23
Generation 33 | Revalues: 6526 | GridSize: 24
Generation 34 | Revalues: 6716 | GridSize: 23
Generation 35 | Revalues: 6898 | GridSize: 20
Generation 36 | Revalues: 7072 | GridSize: 21
Generation 37 | Revalues: 7274 | GridSize: 26
Generation 38 | Revalues: 7484 | GridSize: 26
Generation 39 | Revalues: 7660 | GridSize: 27
Generation 40 | Revalues: 7836 | GridSize: 25
Generation 41 | Revalues: 8046 | GridSize: 25
Generation 42 | Revalues: 8242 | GridSize: 25
Generation 43 | Revalues: 8450 | GridSize: 25
Generation 44 | Revalues: 8662 | GridSize: 25
Generation 45 | Revalues: 8834 | GridSize: 24
Generation 46 | Revalues: 9008 | GridSize: 27
Generation 47 | Revalues: 9198 | GridSize: 27
Generation 48 | Revalues: 9406 | GridSize: 28
Generation 49 | Revalues: 9594 | GridSize: 27
Generation 50 | Revalues: 9788 | GridSize: 29
Generation 51 | Revalues: 9976 | GridSize: 32
Generation 52 | Revalues: 10170 | GridSize: 33
Generation 53 | Revalues: 10370 | GridSize: 36
Generation 54 | Revalues: 10580 | GridSize: 35
Generation 55 | Revalues: 10784 | GridSize: 35
Generation 56 | Revalues: 10970 | GridSize: 34
Generation 57 | Revalues: 11190 | GridSize: 34
