Generation 0 | Revalues: 100 | GridSize: 4
Generation 1 | Revalues: 302 | GridSize: 6
Generation 2 | Revalues: 508 | GridSize: 7
Generation 3 | Revalues: 750 | GridSize: 11
Generation 4 | Revalues: 956 | GridSize: 13
Generation 5 | Revalues: 1158 | GridSize: 13
Generation 6 | Revalues: 1376 | GridSize: 19
Generation 7 | Revalues: 1588 | GridSize: 19
Generation 8 | Revalues: 1784 | GridSize: 15
Generation 9 | Revalues: 2008 | GridSize: 19
Generation 10 | Revalues: 2244 | GridSize: 21
Generation 11 | Revalues: 2460 | GridSize: 23
Generation 12 | Revalues: 2668 | GridSize: 27
Generation 13 | Revalues: 2870 | GridSize: 27
Generation 14 | Revalues: 3088 | GridSize: 27
Generation 15 | Revalues: 3294 | GridSize: 23
Generation 16 | Revalues: 3500 | GridSize: 21
Generation 17 | Revalues: 3712 | GridSize: 26
Generation 18 | Revalues: 3914 | GridSize: 28
Generation 19 | Revalues: 4128 | GridSize: 18
Generation 20 | Revalues: 4358 | GridSize: 22
Generation 21 | Revalues: 4568 | GridSize: 24
Generation 22 | Revalues: 4786 | GridSize: 28
Generation 23 | Revalues: 5026 | GridSize: 23
Generation 24 | Revalues: 5216 | GridSize: 25
Generation 25 | Revalues: 5448 | GridSize: 26
Generation 26 | Revalues: 5656 | GridSize: 24
Generation 27 | Revalues: 5880 | GridSize: 27
Generation 28 | Revalues: 6100 | GridSize: 32
Generation 29 | Revalues: 6320 | GridSize: 20
Generation 30 | Revalues: 6552 | GridSize: 22
Generation 31 | Revalues: 6774 | GridSize: 23
Generation 32 | Revalues: 7010 | GridSize: 26
Generation 33 | Revalues: 7216 | GridSize: 30
Generation 34 | Revalues: 7444 | GridSize: 27
Generation 35 | Revalues: 7678 | GridSize: 29
Generation 36 | Revalues: 7892 | GridSize: 28
Generation 37 | Revalues: 8106 | GridSize: 31
Generation 38 | Revalues: 8312 | GridSize: 32
Generation 39 | Revalues: 8520 | GridSize: 29
Generation 40 | Revalues: 8738 | GridSize: 29
Generation 41 | Revalues: 8952 | GridSize: 25
Generation 42 | Revalues: 9162 | GridSize: 20
Generation 43 | Revalues: 9332 | GridSize: 18
Generation 44 | Revalues: 9554 | GridSize: 19
Generation 45 | Revalues: 9788 | GridSize: 28
Generation 46 | Revalues: 10004 | GridSize: 36
Generation 47 | Revalues: 10218 | GridSize: 37
Generation 48 | Revalues: 10428 | GridSize: 30
Generation 49 | Revalues: 10634 | GridSize: 37
Generation 50 | Revalues: 10856 | GridSize: 37
Generation 51 | Revalues: 11062 | GridSize: 44
Generation 52 | Revalues: 11260 | GridSize: 41
Generation 53 | Revalues: 11480 | GridSize: 51
Generation 54 | Revalues: 11682 | GridSize: 41
Generation 55 | Revalues: 11872 | GridSize: 38
Generation 56 | Revalues: 12090 | GridSize: 41
Generation 57 | Revalues: 12302 | GridSize: 41
Generation 58 | Revalues: 12534 | GridSize: 39
Generation 59 | Revalues: 12742 | GridSize: 41
Generation 60 | Revalues: 12954 | GridSize: 33
Generation 61 | Revalues: 13178 | GridSize: 38
Generation 62 | Revalues: 13412 | GridSize: 42
Generation 63 | Revalues: 13612 | GridSize: 35
Generation 64 | Revalues: 13840 | GridSize: 37
Generation 65 | Revalues: 14058 | GridSize: 37
Generation 66 | Revalues: 14264 | GridSize: 43
Generation 67 | Revalues: 14464 | GridSize: 42
Generation 68 | Revalues: 14668 | GridSize: 46
Generation 69 | Revalues: 14882 | GridSize: 44
Generation 70 | Revalues: 15084 | GridSize: 42
Generation 71 | Revalues: 15300 | GridSize: 48
Generation 72 | Revalues: 15508 | GridSize: 52
Generation 73 | Revalues: 15742 | GridSize: 53
Generation 74 | Revalues: 15968 | GridSize: 56
Generation 75 | Revalues: 16174 | GridSize: 36
Generation 76 | Revalues: 16400 | GridSize: 40
Generation 77 | Revalues: 16618 | GridSize: 38
Generation 78 | Revalues: 16828 | GridSize: 40
Generation 79 | Revalues: 17042 | GridSize: 38
Generation 80 | Revalues: 17226 | GridSize: 36
Generation 81 | Revalues: 17458 | GridSize: 36
Generation 82 | Revalues: 17678 | GridSize: 34
Generation 83 | Revalues: 17876 | GridSize: 37
Generation 84 | Revalues: 18092 | GridSize: 38
Generation 85 | Revalues: 18306 | GridSize: 37
Generation 86 | Revalues: 18546 | GridSize: 41
Generation 87 | Revalues: 18764 | GridSize: 35
Generation 88 | Revalues: 19002 | GridSize: 39
Generation 89 | Revalues: 19198 | GridSize: 40
Generation 90 | Revalues: 19422 | GridSize: 44
Generation 91 | Revalues: 19664 | GridSize: 47
Generation 92 | Revalues: 19888 | GridSize: 55
Generation 93 | Revalues: 20122 | GridSize: 53
Generation 94 | Revalues: 20310 | GridSize: 56
Generation 95 | Revalues: 20542 | GridSize: 58
Generation 96 | Revalues: 20778 | GridSize: 52
Generation 97 | Revalues: 21008 | GridSize: 52
Generation 98 | Revalues: 21236 | GridSize: 48
Generation 99 | Revalues: 21466 | GridSize: 52
Generation 100 | Revalues: 21690 | GridSize: 50
Generation 101 | Revalues: 21906 | GridSize: 47
Generation 102 | Revalues: 22126 | GridSize: 49
Generation 103 | Revalues: 22348 | GridSize: 53
Generation 104 | Revalues: 22588 | GridSize: 51
Generation 105 | Revalues: 22824 | GridSize: 54
Generation 106 | Revalues: 23034 | GridSize: 52
Generation 107 | Revalues: 23268 | GridSize: 58
Generation 108 | Revalues: 23482 | GridSize: 54
Generation 109 | Revalues: 23710 | GridSize: 56
Generation 110 | Revalues: 23930 | GridSize: 58
Generation 111 | Revalues: 24140 | GridSize: 54
Generation 112 | Revalues: 24380 | GridSize: 60
Generation 113 | Revalues: 24602 | GridSize: 58
Generation 114 | Revalues: 24826 | GridSize: 57
Generation 115 | Revalues: 25034 | GridSize: 57
Generation 116 | Revalues: 25272 | GridSize: 59
Generation 117 | Revalues: 25460 | GridSize: 60
Generation 118 | Revalues: 25684 | GridSize: 64
Generation 119 | Revalues: 25898 | GridSize: 63
Generation 120 | Revalues: 26108 | GridSize: 66
Generation 121 | Revalues: 26308 | GridSize: 61
Generation 122 | Revalues: 26536 | GridSize: 57
Generation 123 | Revalues: 26766 | GridSize: 61
Generation 124 | Revalues: 26974 | GridSize: 64
Generation 125 | Revalues: 27186 | GridSize: 66
Generation 126 | Revalues: 27394 | GridSize: 68
Generation 127 | Revalues: 27614 | GridSize: 67
Generation 128 | Revalues: 27830 | GridSize: 73
Generation 129 | Revalues: 28072 | GridSize: 75
Generation 130 | Revalues: 28298 | GridSize: 73
Generation 131 | Revalues: 28528 | GridSize: 67
Generation 132 | Revalues: 28736 | GridSize: 66
Generation 133 | Revalues: 28964 | GridSize: 65
Generation 134 | Revalues: 29202 | GridSize: 70
Generation 135 | Revalues: 29420 | GridSize: 68
Generation 136 | Revalues: 29648 | GridSize: 72
Generation 137 | Revalues: 29864 | GridSize: 65
Generation 138 | Revalues: 30062 | GridSize: 62
Generation 139 | Revalues: 30272 | GridSize: 63
Generation 140 | Revalues: 30498 | GridSize: 63
Generation 141 | Revalues: 30744 | GridSize: 65
Generation 142 | Revalues: 30972 | GridSize: 63
Generation 143 | Revalues: 31194 | GridSize: 67
Generation 144 | Revalues: 31412 | GridSize: 64
Generation 145 | Revalues: 31622 | GridSize: 60
Generation 146 | Revalues: 31860 | GridSize: 63
Generation 147 | Revalues: 32066 | GridSize: 66
Generation 148 | Revalues: 32278 | GridSize: 70
Generation 149 | Revalues: 32490 | GridSize: 70
Generation 150 | Revalues: 32714 | GridSize: 60
Generation 151 | Revalues: 32938 | GridSize: 51
Generation 152 | Revalues: 33132 | GridSize: 49
Generation 153 | Revalues: 33344 | GridSize: 50
Generation 154 | Revalues: 33580 | GridSize: 48
Generation 155 | Revalues: 33798 | GridSize: 47
Generation 156 | Revalues: 34020 | GridSize: 48
Generation 157 | Revalues: 34228 | GridSize: 49
Generation 158 | Revalues: 34456 | GridSize: 50
Generation 159 | Revalues: 34690 | GridSize: 54
Generation 160 | Revalues: 34868 | GridSize: 54
Generation 161 | Revalues: 35080 | GridSize: 58
Generation 162 | Revalues: 35308 | GridSize: 58
Generation 163 | Revalues: 35542 | GridSize: 55
Generation 164 | Revalues: 35742 | GridSize: 51
Generation 165 | Revalues: 35952 | GridSize: 51
Generation 166 | Revalues: 36170 | GridSize: 55
Generation 167 | Revalues: 36418 | GridSize: 61
Generation 168 | Revalues: 36640 | GridSize: 65
Generation 169 | Revalues: 36862 | GridSize: 63
Generation 170 | Revalues: 37076 | GridSize: 58
Generation 171 | Revalues: 37290 | GridSize: 59
Generation 172 | Revalues: 37500 | GridSize: 55
Generation 173 | Revalues: 37718 | GridSize: 55
Generation 174 | Revalues: 37940 | GridSize: 60
Generation 175 | Revalues: 38170 | GridSize: 62
Generation 176 | Revalues: 38396 | GridSize: 62
Generation 177 | Revalues: 38636 | GridSize: 66
Generation 178 | Revalues: 38882 | GridSize: 69
Generation 179 | Revalues: 39112 | GridSize: 71
Generation 180 | Revalues: 39324 | GridSize: 66
Generation 181 | Revalues: 39522 | GridSize: 64
Generation 182 | Revalues: 39732 | GridSize: 64
Generation 183 | Revalues: 39950 | GridSize: 70
Generation 184 | Revalues: 40180 | GridSize: 68
Generation 185 | Revalues: 40400 | GridSize: 74
Generation 186 | Revalues: 40648 | GridSize: 77
Generation 187 | Revalues: 40874 | GridSize: 78
Generation 188 | Revalues: 41116 | GridSize: 73
Generation 189 | Revalues: 41334 | GridSize: 75
Generation 190 | Revalues: 41546 | GridSize: 70
Generation 191 | Revalues: 41744 | GridSize: 71
Generation 192 | Revalues: 41962 | GridSize: 68
Generation 193 | Revalues: 42174 | GridSize: 68
Generation 194 | Revalues: 42402 | GridSize: 70
Generation 195 | Revalues: 42608 | GridSize: 72
Generation 196 | Revalues: 42826 | GridSize: 71
Generation 197 | Revalues: 43050 | GridSize: 71
Generation 198 | Revalues: 43268 | GridSize: 73
Generation 199 | Revalues: 43498 | GridSize: 77
Generation 200 | Revalues: 43724 | GridSize: 78
Generation 201 | Revalues: 43978 | GridSize: 71
Generation 202 | Revalues: 44218 | GridSize: 73
